zcnblk-shm-target-remote-connect: lane=0 address=127.0.0.1:32878->127.0.0.1:29000 tcp_nodelay=true quickack=false
zcnblk-shm-target-remote-connect: lane=1 address=127.0.0.1:53278->127.0.0.1:29001 tcp_nodelay=true quickack=false
zcnblk-shm-target-remote-connect: lane=2 address=127.0.0.1:32926->127.0.0.1:29002 tcp_nodelay=true quickack=false
zcnblk-shm-target-remote-connect: lane=3 address=127.0.0.1:41542->127.0.0.1:29003 tcp_nodelay=true quickack=false
zcnblk-shm-target: device=/dev/zcnblk-shmctl backend=WalTcp channels=4 ring_entries=512 payload_entries=8192 slot_bytes=4096 region_bytes=134750208 capacity_bytes=536870912 kick_batch=128 lease_release_batch=1 writeback_batch=8192 read_batch=512 read_batch_fill_us=0 read_batch_fill_min=32 write_batch_fill_us=0 write_batch_fill_min=256 remote_leaf=127.0.0.1:32878->127.0.0.1:29000 cpu_list=97,145,1,49 owner_dispatch=false owner_count=4 owner_extent_records=256 owner_max_tx_iovecs=960 split_transport=false transport_cpu_list=inline transport_wait=greedy poll_us=1000 busy_poll_us=1000 busy_hysteresis_us=10000 poll_clock_check_spins=64 wait_policy=fixed-active ordering=per-lane-batch+sector-predecessor+global-sync-hwm shared_payload_slots=true payload_ownership=submit-sequence-token-transfer placement_owner=downstream-userspace-stage block_client_placement=no representative=true 
zcnblk-shm-target-topology: coordinator_cpu=none-lane-owned foreground_lane_cpu_map=lane0:cpu97,lane1:cpu145,lane2:cpu1,lane3:cpu49 transport_lane_cpu_map=lane0:cpu97,lane1:cpu145,lane2:cpu1,lane3:cpu49 remote_ports=127.0.0.1:32878->127.0.0.1:29000,127.0.0.1:53278->127.0.0.1:29001,127.0.0.1:32926->127.0.0.1:29002,127.0.0.1:41542->127.0.0.1:29003 ordering=per-lane-batch+sector-predecessor+global-sync-hwm
zcnblk-shm-target-wal-debug: channel=0 req_cons=2341 req_prod=2342 pending_send=133 pending_front_submit=8761 pending_front_predecessor=7079 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=63 logical_hwm=6861 remote_hwm=6861 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=2889 req_prod=2889 pending_send=67 pending_front_submit=9035 pending_front_predecessor=6905 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=40 logical_hwm=6861 remote_hwm=6861 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=1846 req_prod=1910 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=6861 remote_hwm=6861 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=2135 req_prod=2156 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=22 logical_hwm=7051 remote_hwm=7038 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=0 req_cons=3095 req_prod=3159 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=11015 remote_hwm=11012 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=4417 req_prod=4417 pending_send=128 pending_front_submit=11575 pending_front_predecessor=11043 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=11015 remote_hwm=11012 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=2759 req_prod=2759 pending_send=135 pending_front_submit=11790 pending_front_predecessor=11208 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=11015 remote_hwm=11012 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=2042 req_prod=2064 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=33 logical_hwm=11104 remote_hwm=11104 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=0 req_cons=3095 req_prod=3159 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=11138 remote_hwm=11138 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=4757 req_prod=4821 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=11138 remote_hwm=11138 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=2833 req_prod=2897 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=11231 remote_hwm=11231 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=2096 req_prod=2122 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=30 logical_hwm=12377 remote_hwm=12377 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=0 req_cons=3659 req_prod=3723 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=12408 remote_hwm=12408 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=4979 req_prod=5043 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=12408 remote_hwm=12408 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=3459 req_prod=3499 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=2 lane_completion_ready=0 lane_completions=11 logical_hwm=12835 remote_hwm=12835 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=2198 req_prod=2210 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=40 logical_hwm=12860 remote_hwm=12860 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=7440 req_prod=7440 pending_send=132 pending_front_submit=17368 pending_front_predecessor=13575 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=60 logical_hwm=12860 remote_hwm=12860 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=4038 req_prod=4102 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=13824 remote_hwm=13823 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=2229 req_prod=2259 pending_send=6 pending_front_submit=17821 pending_front_predecessor=17497 transport_pending=false in_flight=2 lane_completion_ready=0 lane_completions=22 logical_hwm=13843 remote_hwm=13843 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=8433 req_prod=8497 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=17829 remote_hwm=17827 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=4038 req_prod=4102 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=17829 remote_hwm=17827 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=2306 req_prod=2330 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=1 lane_completion_ready=0 lane_completions=13 logical_hwm=17839 remote_hwm=17838 sync_epoch=0 release_hwm=0
