watchdog_at=2026-07-16T02:17:07Z
cat: /sys/kernel/debug/zcnblk/state: Permission denied
      68       28
    PID     TID PSR STAT COMMAND         WCHAN
      1       1   2 Ss   systemd         -
      2       2  19 S    kthreadd        -
      3       3   0 S    pool_workqueue_ -
      4       4   0 I<   kworker/R-rcu_g -
      5       5   0 I<   kworker/R-sync_ -
      6       6   0 I<   kworker/R-kvfre -
      7       7   0 I<   kworker/R-slub_ -
      8       8   0 I<   kworker/R-netns -
     10      10   0 I    kworker/0:1-cgw -
     11      11   0 I<   kworker/0:0H-ev -
     12      12   0 I    kworker/u768:0- -
     13      13   0 I<   kworker/R-mm_pe -
     14      14   0 S    ksoftirqd/0     -
     15      15  22 I    rcu_sched       -
     16      16   8 S    rcu_exp_par_gp_ -
     17      17 107 S    rcu_exp_gp_kthr -
     18      18   0 S    migration/0     -
     19      19   0 S    idle_inject/0   -
     20      20   0 S    cpuhp/0         -
     21      21   1 S    cpuhp/1         -
     22      22   1 S    idle_inject/1   -
     23      23   1 S    migration/1     -
     24      24   1 S    ksoftirqd/1     -
     26      26   1 I<   kworker/1:0H-ev -
     27      27   2 S    cpuhp/2         -
     28      28   2 S    idle_inject/2   -
     29      29   2 S    migration/2     -
     30      30   2 S    ksoftirqd/2     -
     31      31   2 I    kworker/2:0-cgr -
     32      32   2 I<   kworker/2:0H-ev -
     33      33   3 S    cpuhp/3         -
     34      34   3 S    idle_inject/3   -
     35      35   3 S    migration/3     -
     36      36   3 S    ksoftirqd/3     -
     37      37   3 I    kworker/3:0-eve -
     38      38   3 I<   kworker/3:0H-ev -
     39      39   4 S    cpuhp/4         -
     40      40   4 S    idle_inject/4   -
     41      41   4 S    migration/4     -
     42      42   4 S    ksoftirqd/4     -
     43      43   4 I    kworker/4:0-mm_ -
     44      44   4 I<   kworker/4:0H-ev -
     45      45   5 S    cpuhp/5         -
     46      46   5 S    idle_inject/5   -
     47      47   5 S    migration/5     -
     48      48   5 S    ksoftirqd/5     -
     49      49   5 I    kworker/5:0-mm_ -
     50      50   5 I<   kworker/5:0H-ev -
     51      51   6 S    cpuhp/6         -
     52      52   6 S    idle_inject/6   -
     53      53   6 R    migration/6     -
     54      54   6 S    ksoftirqd/6     -
     56      56   6 I<   kworker/6:0H-ev -
     57      57   7 S    cpuhp/7         -
     58      58   7 S    idle_inject/7   -
     59      59   7 S    migration/7     -
     60      60   7 S    ksoftirqd/7     -
     61      61   7 I    kworker/7:0-mm_ -
     62      62   7 I<   kworker/7:0H-ev -
     63      63   8 S    cpuhp/8         -
     64      64   8 S    idle_inject/8   -
     65      65   8 S    migration/8     -
     66      66   8 S    ksoftirqd/8     -
     68      68   8 I<   kworker/8:0H-ev -
     69      69   9 S    cpuhp/9         -
     70      70   9 S    idle_inject/9   -
     71      71   9 S    migration/9     -
     72      72   9 S    ksoftirqd/9     -
     74      74   9 I<   kworker/9:0H-ev -
     75      75  10 S    cpuhp/10        -
     76      76  10 S    idle_inject/10  -
     77      77  10 S    migration/10    -
     78      78  10 S    ksoftirqd/10    -
     79      79  10 I    kworker/10:0-mm -
     80      80  10 I<   kworker/10:0H-e -
     81      81  11 S    cpuhp/11        -
     82      82  11 S    idle_inject/11  -
     83      83  11 S    migration/11    -
     84      84  11 S    ksoftirqd/11    -
     85      85  11 I    kworker/11:0-cg -
     86      86  11 I<   kworker/11:0H-e -
     87      87  12 S    cpuhp/12        -
     88      88  12 S    idle_inject/12  -
     89      89  12 S    migration/12    -
     90      90  12 S    ksoftirqd/12    -
     92      92  12 I<   kworker/12:0H-e -
     93      93  13 S    cpuhp/13        -
     94      94  13 S    idle_inject/13  -
     95      95  13 S    migration/13    -
     96      96  13 S    ksoftirqd/13    -
     97      97  13 I    kworker/13:0-mm -
     98      98  13 I<   kworker/13:0H-e -
     99      99  14 S    cpuhp/14        -
    100     100  14 S    idle_inject/14  -
    101     101  14 S    migration/14    -
    102     102  14 S    ksoftirqd/14    -
    103     103  14 I    kworker/14:0-cg -
    104     104  14 I<   kworker/14:0H-e -
    105     105  15 S    cpuhp/15        -
    106     106  15 S    idle_inject/15  -
    107     107  15 S    migration/15    -
    108     108  15 S    ksoftirqd/15    -
    109     109  15 I    kworker/15:0-mm -
    110     110  15 I<   kworker/15:0H-e -
    111     111  16 S    cpuhp/16        -
    112     112  16 S    idle_inject/16  -
    113     113  16 S    migration/16    -
    114     114  16 S    ksoftirqd/16    -
    116     116  16 I<   kworker/16:0H-e -
    117     117  16 S    rcu_exp_par_gp_ -
    118     118  17 S    cpuhp/17        -
    119     119  17 S    idle_inject/17  -
    120     120  17 S    migration/17    -
    121     121  17 S    ksoftirqd/17    -
    122     122  17 I    kworker/17:0-mm -
    123     123  17 I<   kworker/17:0H-e -
    124     124  18 S    cpuhp/18        -
    125     125  18 S    idle_inject/18  -
    126     126  18 S    migration/18    -
    127     127  18 S    ksoftirqd/18    -
    129     129  18 I<   kworker/18:0H-e -
    130     130  19 S    cpuhp/19        -
    131     131  19 S    idle_inject/19  -
    132     132  19 S    migration/19    -
    133     133  19 S    ksoftirqd/19    -
    134     134  19 I    kworker/19:0-mm -
    135     135  19 I<   kworker/19:0H-e -
    136     136  20 S    cpuhp/20        -
    137     137  20 S    idle_inject/20  -
    138     138  20 S    migration/20    -
    139     139  20 S    ksoftirqd/20    -
    140     140  20 I    kworker/20:0-cg -
    141     141  20 I<   kworker/20:0H-e -
    142     142  21 S    cpuhp/21        -
    143     143  21 S    idle_inject/21  -
    144     144  21 S    migration/21    -
    145     145  21 S    ksoftirqd/21    -
    146     146  21 I    kworker/21:0-mm -
    147     147  21 I<   kworker/21:0H-e -
    148     148  22 S    cpuhp/22        -
    149     149  22 S    idle_inject/22  -
    150     150  22 S    migration/22    -
    151     151  22 S    ksoftirqd/22    -
    152     152  22 I    kworker/22:0-mm -
    153     153  22 I<   kworker/22:0H-e -
    154     154  23 S    cpuhp/23        -
    155     155  23 S    idle_inject/23  -
    156     156  23 S    migration/23    -
    157     157  23 S    ksoftirqd/23    -
    158     158  23 I    kworker/23:0-mm -
    159     159  23 I<   kworker/23:0H-e -
    160     160  24 S    cpuhp/24        -
    161     161  24 S    idle_inject/24  -
    162     162  24 S    migration/24    -
    163     163  24 S    ksoftirqd/24    -
    164     164  24 I    kworker/24:0-mm -
    165     165  24 I<   kworker/24:0H-e -
    166     166  25 S    cpuhp/25        -
    167     167  25 S    idle_inject/25  -
    168     168  25 S    migration/25    -
    169     169  25 S    ksoftirqd/25    -
    170     170  25 I    kworker/25:0-mm -
    171     171  25 I<   kworker/25:0H-e -
    172     172  26 S    cpuhp/26        -
    173     173  26 S    idle_inject/26  -
    174     174  26 S    migration/26    -
    175     175  26 S    ksoftirqd/26    -
    176     176  26 I    kworker/26:0-pm -
    177     177  26 I<   kworker/26:0H-e -
    178     178  27 S    cpuhp/27        -
    179     179  27 S    idle_inject/27  -
    180     180  27 S    migration/27    -
    181     181  27 S    ksoftirqd/27    -
    182     182  27 I    kworker/27:0-mm -
    183     183  27 I<   kworker/27:0H-e -
    184     184  28 S    cpuhp/28        -
    185     185  28 S    idle_inject/28  -
    186     186  28 S    migration/28    -
    187     187  28 S    ksoftirqd/28    -
    188     188  28 I    kworker/28:0-mm -
    189     189  28 I<   kworker/28:0H-e -
    190     190  29 S    cpuhp/29        -
    191     191  29 S    idle_inject/29  -
    192     192  29 S    migration/29    -
    193     193  29 S    ksoftirqd/29    -
    194     194  29 I    kworker/29:0-mm -
    195     195  29 I<   kworker/29:0H-e -
    196     196  30 S    cpuhp/30        -
    197     197  30 S    idle_inject/30  -
    198     198  30 S    migration/30    -
    199     199  30 S    ksoftirqd/30    -
    200     200  30 I    kworker/30:0-mm -
    201     201  30 I<   kworker/30:0H-e -
    202     202  31 S    cpuhp/31        -
    203     203  31 S    idle_inject/31  -
    204     204  31 S    migration/31    -
    205     205  31 S    ksoftirqd/31    -
    206     206  31 I    kworker/31:0-mm -
    207     207  31 I<   kworker/31:0H-e -
    208     208  32 S    cpuhp/32        -
    209     209  32 S    idle_inject/32  -
    210     210  32 S    migration/32    -
    211     211  32 S    ksoftirqd/32    -
    212     212  32 I    kworker/32:0-mm -
    213     213  32 I<   kworker/32:0H-e -
    214     214  33 S    rcu_exp_par_gp_ -
    215     215  33 S    cpuhp/33        -
    216     216  33 S    idle_inject/33  -
    217     217  33 S    migration/33    -
    218     218  33 S    ksoftirqd/33    -
    219     219  33 I    kworker/33:0-mm -
    220     220  33 I<   kworker/33:0H-e -
    221     221  34 S    cpuhp/34        -
    222     222  34 S    idle_inject/34  -
    223     223  34 S    migration/34    -
    224     224  34 S    ksoftirqd/34    -
    225     225  34 I    kworker/34:0-mm -
    226     226  34 I<   kworker/34:0H-e -
    227     227  35 S    cpuhp/35        -
    228     228  35 S    idle_inject/35  -
    229     229  35 S    migration/35    -
    230     230  35 S    ksoftirqd/35    -
    231     231  35 I    kworker/35:0-mm -
    232     232  35 I<   kworker/35:0H-e -
    233     233  36 S    cpuhp/36        -
    234     234  36 S    idle_inject/36  -
    235     235  36 S    migration/36    -
    236     236  36 S    ksoftirqd/36    -
    237     237  36 I    kworker/36:0-mm -
    238     238  36 I<   kworker/36:0H-e -
    239     239  37 S    cpuhp/37        -
    240     240  37 S    idle_inject/37  -
    241     241  37 S    migration/37    -
    242     242  37 S    ksoftirqd/37    -
    243     243  37 I    kworker/37:0-mm -
    244     244  37 I<   kworker/37:0H-e -
    245     245  38 S    cpuhp/38        -
    246     246  38 S    idle_inject/38  -
    247     247  38 S    migration/38    -
    248     248  38 S    ksoftirqd/38    -
    249     249  38 I    kworker/38:0-mm -
    250     250  38 I<   kworker/38:0H-e -
    251     251  39 S    cpuhp/39        -
    252     252  39 S    idle_inject/39  -
    253     253  39 S    migration/39    -
    254     254  39 S    ksoftirqd/39    -
    255     255  39 I    kworker/39:0-mm -
    256     256  39 I<   kworker/39:0H-e -
    257     257  40 S    cpuhp/40        -
    258     258  40 S    idle_inject/40  -
    259     259  40 S    migration/40    -
    260     260  40 S    ksoftirqd/40    -
    261     261  40 I    kworker/40:0-mm -
    262     262  40 I<   kworker/40:0H-e -
    263     263  41 S    cpuhp/41        -
    264     264  41 S    idle_inject/41  -
    265     265  41 S    migration/41    -
    266     266  41 S    ksoftirqd/41    -
    267     267  41 I    kworker/41:0-mm -
    268     268  41 I<   kworker/41:0H-e -
    269     269  42 S    cpuhp/42        -
    270     270  42 S    idle_inject/42  -
    271     271  42 S    migration/42    -
    272     272  42 S    ksoftirqd/42    -
    273     273  42 I    kworker/42:0-mm -
    274     274  42 I<   kworker/42:0H-e -
    275     275  43 S    cpuhp/43        -
    276     276  43 S    idle_inject/43  -
    277     277  43 S    migration/43    -
    278     278  43 S    ksoftirqd/43    -
    279     279  43 I    kworker/43:0-mm -
    280     280  43 I<   kworker/43:0H-e -
    281     281  44 S    cpuhp/44        -
    282     282  44 S    idle_inject/44  -
    283     283  44 S    migration/44    -
    284     284  44 S    ksoftirqd/44    -
    285     285  44 I    kworker/44:0-mm -
    286     286  44 I<   kworker/44:0H-e -
    287     287  45 S    cpuhp/45        -
    288     288  45 S    idle_inject/45  -
    289     289  45 S    migration/45    -
    290     290  45 S    ksoftirqd/45    -
    291     291  45 I    kworker/45:0-mm -
    292     292  45 I<   kworker/45:0H-e -
    293     293  46 S    cpuhp/46        -
    294     294  46 S    idle_inject/46  -
    295     295  46 S    migration/46    -
    296     296  46 S    ksoftirqd/46    -
