zcnblk-shm-target: device=/dev/zcnblk-shmctl backend=WalTcp channels=32 ring_entries=2048 payload_entries=8192 slot_bytes=4096 region_bytes=1084235776 capacity_bytes=17179869184 kick_batch=128 lease_release_batch=1 writeback_batch=65536 read_batch=2048 read_batch_fill_us=0 read_batch_fill_min=32 write_batch_fill_us=50 write_batch_fill_min=2048 remote_leaf=172.31.33.252:34547->172.31.40.136:29000 cpu_list=97,103,109,115,121,127,133,139,145,151,157,163,169,175,181,187,1,7,13,19,25,31,37,43,49,55,61,67,73,79,85,91 owner_dispatch=false owner_extent_records=256 owner_max_tx_iovecs=960 split_transport=false transport_cpu_list=inline transport_wait=greedy poll_us=50 busy_poll_us=1000 busy_hysteresis_us=10000 wait_policy=adaptive-active-burst ordering=lane-local-ingress+stable-extent-owner+sector-predecessor+global-sync-hwm shared_payload_slots=true payload_ownership=submit-sequence-token-transfer placement_owner=downstream-userspace-stage block_client_placement=no representative=true 
zcnblk-shm-target-topology: coordinator_cpu=none-lane-owned foreground_lane_cpu_map=lane0:cpu97,lane1:cpu103,lane2:cpu109,lane3:cpu115,lane4:cpu121,lane5:cpu127,lane6:cpu133,lane7:cpu139,lane8:cpu145,lane9:cpu151,lane10:cpu157,lane11:cpu163,lane12:cpu169,lane13:cpu175,lane14:cpu181,lane15:cpu187,lane16:cpu1,lane17:cpu7,lane18:cpu13,lane19:cpu19,lane20:cpu25,lane21:cpu31,lane22:cpu37,lane23:cpu43,lane24:cpu49,lane25:cpu55,lane26:cpu61,lane27:cpu67,lane28:cpu73,lane29:cpu79,lane30:cpu85,lane31:cpu91 transport_lane_cpu_map=lane0:cpu97,lane1:cpu103,lane2:cpu109,lane3:cpu115,lane4:cpu121,lane5:cpu127,lane6:cpu133,lane7:cpu139,lane8:cpu145,lane9:cpu151,lane10:cpu157,lane11:cpu163,lane12:cpu169,lane13:cpu175,lane14:cpu181,lane15:cpu187,lane16:cpu1,lane17:cpu7,lane18:cpu13,lane19:cpu19,lane20:cpu25,lane21:cpu31,lane22:cpu37,lane23:cpu43,lane24:cpu49,lane25:cpu55,lane26:cpu61,lane27:cpu67,lane28:cpu73,lane29:cpu79,lane30:cpu85,lane31:cpu91 remote_ports=172.31.33.252:34547->172.31.40.136:29000,172.31.33.252:40615->172.31.40.136:29001,172.31.33.252:46647->172.31.40.136:29002,172.31.33.252:48477->172.31.40.136:29003,172.31.33.252:43559->172.31.40.136:29004,172.31.33.252:44617->172.31.40.136:29005,172.31.33.252:52409->172.31.40.136:29006,172.31.33.252:54275->172.31.40.136:29007,172.31.33.252:56715->172.31.40.136:29008,172.31.33.252:33711->172.31.40.136:29009,172.31.33.252:60923->172.31.40.136:29010,172.31.33.252:60647->172.31.40.136:29011,172.31.33.252:55775->172.31.40.136:29012,172.31.33.252:46219->172.31.40.136:29013,172.31.33.252:57777->172.31.40.136:29014,172.31.33.252:38873->172.31.40.136:29015,172.31.36.127:55237->172.31.36.205:29016,172.31.36.127:53013->172.31.36.205:29017,172.31.36.127:56109->172.31.36.205:29018,172.31.36.127:34091->172.31.36.205:29019,172.31.36.127:48949->172.31.36.205:29020,172.31.36.127:58231->172.31.36.205:29021,172.31.36.127:55115->172.31.36.205:29022,172.31.36.127:45559->172.31.36.205:29023,172.31.36.127:58771->172.31.36.205:29024,172.31.36.127:46613->172.31.36.205:29025,172.31.36.127:48477->172.31.36.205:29026,172.31.36.127:37869->172.31.36.205:29027,172.31.36.127:53879->172.31.36.205:29028,172.31.36.127:35517->172.31.36.205:29029,172.31.36.127:46651->172.31.36.205:29030,172.31.36.127:52163->172.31.36.205:29031 ordering=lane-local-ingress+stable-extent-owner+sector-predecessor+global-sync-hwm
zcnblk-shm-target-wal-lane: channel=0 cpu=97 transport_cpu=owner:99 requests=10042 writes=10024 reads=16 syncs=2 early_write_acks=10024 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=2013 dirty_pressure_evictions=9936 max_payload_slots_outstanding=1918 remote_read_misses=16 completion_window_stalls=0 active_seconds=0.275857 active_iops=36403 remote_batches=151 avg_remote_batch_records=66.49 kicks=148 idle_polls=14
zcnblk-shm-target-wal-lane: channel=1 cpu=103 transport_cpu=owner:105 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1987 dirty_pressure_evictions=9820 max_payload_slots_outstanding=2854 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.253728 active_iops=39412 remote_batches=110 avg_remote_batch_records=90.91 kicks=105 idle_polls=22
zcnblk-shm-target-wal-lane: channel=2 cpu=109 transport_cpu=owner:111 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1808 dirty_pressure_evictions=9966 max_payload_slots_outstanding=1098 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.231771 active_iops=43146 remote_batches=117 avg_remote_batch_records=85.47 kicks=106 idle_polls=30
zcnblk-shm-target-wal-lane: channel=3 cpu=115 transport_cpu=owner:117 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1877 dirty_pressure_evictions=9939 max_payload_slots_outstanding=1558 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.246306 active_iops=40600 remote_batches=109 avg_remote_batch_records=91.74 kicks=98 idle_polls=23
zcnblk-shm-target-wal-lane: channel=4 cpu=121 transport_cpu=owner:123 requests=10261 writes=10000 reads=261 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1923 dirty_pressure_evictions=9944 max_payload_slots_outstanding=1734 remote_read_misses=261 completion_window_stalls=0 active_seconds=0.265706 active_iops=38618 remote_batches=159 avg_remote_batch_records=64.53 kicks=339 idle_polls=18
zcnblk-shm-target-wal-lane: channel=5 cpu=127 transport_cpu=owner:129 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=2005 dirty_pressure_evictions=9870 max_payload_slots_outstanding=2194 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.251831 active_iops=39709 remote_batches=79 avg_remote_batch_records=126.58 kicks=64 idle_polls=22
zcnblk-shm-target-wal-lane: channel=6 cpu=133 transport_cpu=owner:135 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1841 dirty_pressure_evictions=9932 max_payload_slots_outstanding=1839 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.250010 active_iops=39998 remote_batches=206 avg_remote_batch_records=48.54 kicks=193 idle_polls=22
zcnblk-shm-target-wal-lane: channel=7 cpu=139 transport_cpu=owner:141 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=2042 dirty_pressure_evictions=9821 max_payload_slots_outstanding=2905 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.255329 active_iops=39165 remote_batches=86 avg_remote_batch_records=116.28 kicks=73 idle_polls=22
zcnblk-shm-target-wal-lane: channel=8 cpu=145 transport_cpu=owner:147 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1997 dirty_pressure_evictions=9940 max_payload_slots_outstanding=1137 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.249687 active_iops=40050 remote_batches=90 avg_remote_batch_records=111.11 kicks=74 idle_polls=22
zcnblk-shm-target-wal-lane: channel=9 cpu=151 transport_cpu=owner:153 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1847 dirty_pressure_evictions=9918 max_payload_slots_outstanding=2022 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.236245 active_iops=42329 remote_batches=61 avg_remote_batch_records=163.93 kicks=65 idle_polls=29
zcnblk-shm-target-wal-lane: channel=10 cpu=157 transport_cpu=owner:159 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=2003 dirty_pressure_evictions=9932 max_payload_slots_outstanding=1562 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.244971 active_iops=40821 remote_batches=89 avg_remote_batch_records=112.36 kicks=77 idle_polls=23
