# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 133K of event 'cycles:k'
# Event count (approx.): 157463091563
#
# Overhead  Symbol                                    IPC   [IPC Coverage]
# ........  ........................................  ....................
#
    55.13%  [k] __wake_up                             -      -            
     9.17%  [k] 0x0000000000003308                    -      -            
     5.87%  [k] __pi_memcpy_generic                   -      -            
     5.55%  [k] 0x0000000000003dcc                    -      -            
     2.56%  [k] 0x00000000000008a0                    -      -            
     2.48%  [k] 0x0000000000003674                    -      -            
     2.30%  [k] 0x0000000000003ed4                    -      -            
     1.64%  [k] 0x0000000000003380                    -      -            
     1.53%  [k] 0x000000000000330c                    -      -            
     1.49%  [k] blk_mq_free_request                   -      -            
     1.43%  [k] __slab_free                           -      -            
     1.40%  [k] io_req_local_work_add                 -      -            
     1.26%  [k] 0x000000000000337c                    -      -            
     0.93%  [k] sbitmap_queue_clear                   -      -            
     0.83%  [k] 0x0000000000003ad0                    -      -            
     0.73%  [k] io_complete_rw                        -      -            
     0.62%  [k] arch_counter_get_cntvct               -      -            
     0.55%  [k] blk_account_io_done.part.0            -      -            
     0.37%  [k] flush_dcache_page                     -      -            
     0.22%  [k] blkdev_bio_end_io_async               -      -            
     0.17%  [k] blk_stat_add                          -      -            
     0.14%  [k] mempool_free                          -      -            
     0.13%  [k] 0x0000000000003330                    -      -            
     0.13%  [k] __blk_mq_end_request                  -      -            
     0.11%  [k] kmem_cache_free                       -      -            
     0.11%  [k] blk_update_request                    -      -            
     0.11%  [k] ktime_get                             -      -            
     0.10%  [k] 0x00000000000034f0                    -      -            
     0.10%  [k] default_idle_call                     -      -            
     0.09%  [k] 0x0000000000003b10                    -      -            
     0.08%  [k] bio_endio                             -      -            
     0.08%  [k] 0x0000000000003524                    -      -            
     0.07%  [k] __rq_qos_done                         -      -            
     0.07%  [k] __pi_memset_generic                   -      -            
     0.06%  [k] 0x0000000000003334                    -      -            
     0.06%  [k] 0x0000000000000888                    -      -            
     0.06%  [k] 0x0000000000003b38                    -      -            
     0.06%  [k] 0x000000000000352c                    -      -            
     0.06%  [k] 0x0000000000003eb4                    -      -            
     0.05%  [k] blk_account_io_completion.part.0      -      -            
     0.05%  [k] blk_mq_finish_request                 -      -            
     0.05%  [k] __rq_qos_done_bio                     -      -            
     0.05%  [k] __blk_mq_free_request                 -      -            
     0.05%  [k] update_io_ticks                       -      -            
     0.05%  [k] __io_complete_rw_common               -      -            
     0.05%  [k] wbt_done                              -      -            
     0.05%  [k] 0x000000000000086c                    -      -            
     0.04%  [k] 0x000000000000087c                    -      -            
     0.04%  [k] percpu_ref_put_many.constprop.0       -      -            
     0.04%  [k] flush_dcache_folio                    -      -            
     0.04%  [k] bio_put                               -      -            
     0.04%  [k] 0x0000000000000870                    -      -            
     0.03%  [k] sbitmap_queue_wake_up                 -      -            
     0.03%  [k] blk_mq_end_request                    -      -            
     0.03%  [k] __io_req_task_work_add                -      -            
     0.03%  [k] blk_mq_put_tag                        -      -            
     0.03%  [k] arch_local_irq_restore                -      -            
     0.03%  [k] 0x0000000000003b2c                    -      -            
     0.03%  [k] bio_uninit                            -      -            
     0.03%  [k] percpu_ref_put_many.constprop.0       -      -            
     0.03%  [k] 0x0000000000004140                    -      -            
     0.03%  [k] mempool_free_slab                     -      -            
     0.03%  [k] bio_free                              -      -            
     0.02%  [k] 0x0000000000003548                    -      -            
     0.02%  [k] bvec_free                             -      -            
     0.02%  [k] 0x0000000000000864                    -      -            
     0.02%  [k] 0x00000000000034b0                    -      -            
     0.02%  [k] 0x0000000000003310                    -      -            
     0.02%  [k] 0x00000000000040fc                    -      -            
     0.02%  [k] arch_counter_read                     -      -            
     0.02%  [k] blk_queue_exit                        -      -            
     0.02%  [k] 0x0000000000000884                    -      -            
     0.02%  [k] 0x0000000000003ac8                    -      -            
     0.02%  [k] 0x0000000000003dd4                    -      -            
     0.02%  [k] 0x00000000000033e4                    -      -            
     0.02%  [k] 0x0000000000000890                    -      -            
     0.02%  [k] 0x000000000000342c                    -      -            
     0.02%  [k] __call_rcu_common                     -      -            
     0.02%  [k] __put_partials                        -      -            
     0.02%  [k] 0x000000000000083c                    -      -            
     0.02%  [k] 0x0000000000003f5c                    -      -            
     0.01%  [k] 0x0000000000003d48                    -      -            
     0.01%  [k] 0x0000000000003b3c                    -      -            
     0.01%  [k] 0x000000000000353c                    -      -            
     0.01%  [k] 0x0000000000000868                    -      -            
     0.01%  [k] wbt_data_dir                          -      -            
     0.01%  [k] 0x0000000000003338                    -      -            
     0.01%  [k] 0x00000000000034b4                    -      -            
     0.01%  [k] 0x0000000000000894                    -      -            
     0.01%  [k] 0x0000000000003eb0                    -      -            
     0.01%  [k] 0x0000000000003384                    -      -            
     0.01%  [k] 0x0000000000003504                    -      -            
     0.01%  [k] 0x0000000000003664                    -      -            
     0.01%  [k] 0x0000000000003dd8                    -      -            
     0.01%  [k] 0x0000000000003370                    -      -            
     0.01%  [k] 0x00000000000034a0                    -      -            
     0.01%  [k] 0x0000000000003b68                    -      -            
     0.01%  [k] 0x0000000000003bc8                    -      -            
     0.01%  [k] 0x0000000000000878                    -      -            
     0.01%  [k] 0x00000000000032fc                    -      -            
     0.01%  [k] put_cpu_partial                       -      -            
     0.01%  [k] 0x000000000000365c                    -      -            
     0.01%  [k] 0x00000000000008a8                    -      -            
     0.01%  [k] 0x0000000000003dd0                    -      -            
     0.01%  [k] 0x0000000000003344                    -      -            
     0.01%  [k] 0x0000000000003378                    -      -            
     0.01%  [k] 0x000000000000335c                    -      -            
     0.01%  [k] 0x0000000000003300                    -      -            
     0.01%  [k] 0x0000000000000860                    -      -            
     0.01%  [k] 0x0000000000000840                    -      -            
     0.01%  [k] 0x000000000000367c                    -      -            
     0.01%  [k] 0x0000000000003350                    -      -            
     0.01%  [k] 0x0000000000003b88                    -      -            
     0.01%  [k] 0x0000000000003670                    -      -            
     0.01%  [k] 0x000000000000336c                    -      -            
     0.01%  [k] 0x000000000000334c                    -      -            
     0.01%  [k] leftmatch_fb                          -      -            
     0.01%  [k] 0x00000000000034fc                    -      -            
     0.01%  [k] 0x0000000000003528                    -      -            
     0.01%  [k] 0x00000000000008f8                    -      -            
     0.01%  [k] 0x0000000000003e74                    -      -            
     0.01%  [k] 0x0000000000003494                    -      -            
     0.01%  [k] 0x0000000000003364                    -      -            
     0.01%  [k] 0x0000000000000910                    -      -            
     0.01%  [k] 0x0000000000003398                    -      -            
     0.01%  [k] 0x000000000000331c                    -      -            
     0.00%  [k] 0x0000000000004144                    -      -            
     0.00%  [k] 0x0000000000003850                    -      -            
     0.00%  [k] 0x00000000000033ec                    -      -            
     0.00%  [k] memset                                -      -            
     0.00%  [k] 0x00000000000008c4                    -      -            
     0.00%  [k] 0x000000000000354c                    -      -            
     0.00%  [k] 0x0000000000003ed0                    -      -            
     0.00%  [k] folio_remove_rmap_ptes                -      -            
     0.00%  [k] 0x000000000000088c                    -      -            
     0.00%  [k] 0x0000000000003ac0                    -      -            
     0.00%  [k] 0x0000000000003f14                    -      -            
     0.00%  [k] 0x000000000000355c                    -      -            
     0.00%  [k] 0x0000000000003578                    -      -            
     0.00%  [k] 0x0000000000004460                    -      -            
     0.00%  [k] 0x0000000000003544                    -      -            
     0.00%  [k] 0x00000000000033e8                    -      -            
     0.00%  [k] 0x0000000000000874                    -      -            
     0.00%  [k] 0x00000000000008c8                    -      -            
     0.00%  [k] 0x0000000000003aa8                    -      -            
     0.00%  [k] 0x0000000000004170                    -      -            
     0.00%  [k] 0x0000000000000854                    -      -            
     0.00%  [k] 0x000000000000340c                    -      -            
     0.00%  [k] 0x0000000000003aa0                    -      -            
     0.00%  [k] 0x00000000000008d4                    -      -            
     0.00%  [k] 0x0000000000003580                    -      -            
     0.00%  [k] 0x000000000000362c                    -      -            
     0.00%  [k] 0x00000000000033a4                    -      -            
     0.00%  [k] 0x0000000000003a4c                    -      -            
     0.00%  [k] 0x000000000000356c                    -      -            
     0.00%  [k] 0x0000000000003f20                    -      -            
     0.00%  [k] 0x0000000000000918                    -      -            
     0.00%  [k] 0x0000000000000830                    -      -            
     0.00%  [k] 0x00000000000008b4                    -      -            
     0.00%  [k] 0x0000000000003598                    -      -            
     0.00%  [k] 0x0000000000003f58                    -      -            
     0.00%  [k] 0x000000000000084c                    -      -            
     0.00%  [k] 0x000000000000332c                    -      -            
     0.00%  [k] 0x0000000000000900                    -      -            
     0.00%  [k] 0x0000000000003e4c                    -      -            
     0.00%  [k] 0x00000000000059f0                    -      -            
     0.00%  [k] 0x0000000000003f68                    -      -            
     0.00%  [k] 0x0000000000003e20                    -      -            
     0.00%  [k] 0x00000000000041cc                    -      -            
     0.00%  [k] 0x0000000000003538                    -      -            
     0.00%  [k] kmem_cache_alloc_noprof               -      -            
     0.00%  [k] 0x0000000000000908                    -      -            
     0.00%  [k] 0x0000000000003b0c                    -      -            
     0.00%  [k] 0x0000000000003edc                    -      -            
     0.00%  [k] kthread_should_stop                   -      -            
     0.00%  [k] 0x0000000000003520                    -      -            
     0.00%  [k] 0x00000000000012dc                    -      -            
     0.00%  [k] 0x0000000000003358                    -      -            
     0.00%  [k] 0x000000000000410c                    -      -            
     0.00%  [k] 0x00000000000034bc                    -      -            
     0.00%  [k] 0x000000000000363c                    -      -            
     0.00%  [k] 0x0000000000003e6c                    -      -            
     0.00%  [k] 0x0000000000003550                    -      -            
     0.00%  [k] 0x0000000000003588                    -      -            
     0.00%  [k] 0x0000000000003ea0                    -      -            
     0.00%  [k] 0x00000000000008fc                    -      -            
     0.00%  [k] 0x0000000000003a48                    -      -            
     0.00%  [k] __kern_my_cpu_offset                  -      -            
     0.00%  [k] 0x00000000000036ac                    -      -            
     0.00%  [k] call_rcu                              -      -            
     0.00%  [k] show_vma_header_prefix                -      -            
     0.00%  [k] 0x00000000000012fc                    -      -            
     0.00%  [k] 0x00000000000008e0                    -      -            
     0.00%  [k] 0x000000000000358c                    -      -            
     0.00%  [k] 0x00000000000012d8                    -      -            
     0.00%  [k] 0x0000000000000848                    -      -            
     0.00%  [k] 0x0000000000000898                    -      -            
     0.00%  [k] 0x00000000000012cc                    -      -            
     0.00%  [k] 0x0000000000003490                    -      -            
     0.00%  [k] 0x00000000000008cc                    -      -            
     0.00%  [k] memmove                               -      -            
     0.00%  [k] 0x0000000000003434                    -      -            
     0.00%  [k] 0x0000000000003654                    -      -            
     0.00%  [k] 0x00000000000040b4                    -      -            
     0.00%  [k] 0x0000000000003f40                    -      -            
     0.00%  [k] 0x0000000000004444                    -      -            
     0.00%  [k] filemap_map_pages                     -      -            
     0.00%  [k] 0x0000000000003420                    -      -            
     0.00%  [k] 0x00000000000035b8                    -      -            
     0.00%  [k] 0x0000000000003b84                    -      -            
     0.00%  [k] prepend                               -      -            
     0.00%  [k] 0x00000000000041d0                    -      -            
     0.00%  [k] 0x00000000000035a0                    -      -            
     0.00%  [k] 0x00000000000008ec                    -      -            
     0.00%  [k] 0x0000000000000844                    -      -            
     0.00%  [k] 0x000000000000415c                    -      -            
     0.00%  [k] 0x0000000000003590                    -      -            
     0.00%  [k] zap_present_ptes                      -      -            
     0.00%  [k] __handle_mm_fault                     -      -            
     0.00%  [k] do_page_fault                         -      -            
     0.00%  [k] 0x0000000000003318                    -      -            
     0.00%  [k] ext4_dirty_inode                      -      -            
     0.00%  [k] next_uptodate_folio                   -      -            
     0.00%  [k] mas_next_slot                         -      -            
     0.00%  [k] 0x00000000000034f4                    -      -            
     0.00%  [k] process_one_work                      -      -            
     0.00%  [k] 0x0000000000004470                    -      -            
     0.00%  [k] 0x0000000000003ee0                    -      -            
     0.00%  [k] 0x0000000000003b18                    -      -            
     0.00%  [k] 0x0000000000003e5c                    -      -            
     0.00%  [k] 0x0000000000003e64                    -      -            
     0.00%  [k] 0x0000000000005944                    -      -            
     0.00%  [k] 0x00000000000040d4                    -      -            
     0.00%  [k] 0x0000000000003f30                    -      -            
     0.00%  [k] 0x00000000000040c8                    -      -            
     0.00%  [k] 0x0000000000003e44                    -      -            
     0.00%  [k] 0x0000000000003ef4                    -      -            
     0.00%  [k] 0x0000000000003e40                    -      -            
     0.00%  [k] 0x0000000000001388                    -      -            
     0.00%  [k] 0x00000000000033c0                    -      -            
     0.00%  [k] 0x0000000000003ecc                    -      -            
     0.00%  [k] 0x0000000000001378                    -      -            
     0.00%  [k] 0x0000000000003b6c                    -      -            
     0.00%  [k] 0x000000000000418c                    -      -            
     0.00%  [k] 0x0000000000003e2c                    -      -            
     0.00%  [k] 0x0000000000003648                    -      -            
     0.00%  [k] 0x0000000000004178                    -      -            
     0.00%  [k] 0x00000000000034a4                    -      -            
     0.00%  [k] 0x00000000000036b4                    -      -            
     0.00%  [k] 0x0000000000004468                    -      -            
     0.00%  [k] 0x00000000000032f8                    -      -            
     0.00%  [k] 0x000000000000444c                    -      -            
     0.00%  [k] queued_spin_lock_slowpath             -      -            
     0.00%  [k] 0x0000000000000850                    -      -            
     0.00%  [k] 0x0000000000003db8                    -      -            
     0.00%  [k] 0x00000000000012e8                    -      -            
     0.00%  [k] 0x00000000000013b0                    -      -            
     0.00%  [k] 0x0000000000003f6c                    -      -            
     0.00%  [k] 0x0000000000003f70                    -      -            
     0.00%  [k] 0x0000000000003530                    -      -            
     0.00%  [k] 0x0000000000003a50                    -      -            
     0.00%  [k] 0x0000000000003f0c                    -      -            
     0.00%  [k] 0x0000000000005a08                    -      -            
     0.00%  [k] 0x0000000000003ec4                    -      -            
     0.00%  [k] 0x0000000000003aa4                    -      -            
     0.00%  [k] 0x0000000000003f38                    -      -            
     0.00%  [k] 0x00000000000034dc                    -      -            
     0.00%  [k] 0x0000000000003efc                    -      -            
     0.00%  [k] 0x0000000000003560                    -      -            
     0.00%  [k] 0x0000000000003374                    -      -            
     0.00%  [k] 0x00000000000034c8                    -      -            
