# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 132K of event 'cycles:u'
# Event count (approx.): 686519662514
#
# Overhead  Symbol                                                                          IPC   [IPC Coverage]
# ........  ..............................................................................  ....................
#
    31.41%  [.] 0x0000000000000584                                                          -      -            
    29.00%  [.] <zcutils::zcnblk_shm_target::SharedTarget>::run_channel                     -      -            
    13.29%  [.] 0x0000000000000574                                                          -      -            
     5.23%  [.] 0x0000000000000578                                                          -      -            
     5.17%  [.] 0x0000000000000568                                                          -      -            
     3.92%  [.] clock_gettime                                                               -      -            
     2.89%  [.] 0x0000000000000594                                                          -      -            
     2.18%  [.] <std::sys::pal::unix::time::Timespec>::now                                  -      -            
     0.91%  [.] __kernel_clock_gettime                                                      -      -            
     0.71%  [.] <zcutils::zcnblk_shm_target::WalCompletionTracker>::mark_complete_deferred  -      -            
     0.54%  [.] 0x00000000000a1d80                                                          -      -            
     0.40%  [.] 0x00000000000a1d50                                                          -      -            
     0.37%  [.] __aarch64_cas8_acq_rel                                                      -      -            
     0.31%  [.] clock_gettime@plt                                                           -      -            
     0.20%  [.] 0x00000000000a1d78                                                          -      -            
     0.16%  [.] 0x00000000000005e4                                                          -      -            
     0.16%  [.] 0x00000000000a1d74                                                          -      -            
     0.16%  [.] __aarch64_cas8_relax                                                        -      -            
     0.13%  [.] <std::time::Instant>::now                                                   -      -            
     0.11%  [.] 0x0000000000000614                                                          -      -            
     0.11%  [.] 0x0000000000000580                                                          -      -            
     0.10%  [.] 0x0000000000000624                                                          -      -            
     0.10%  [.] 0x0000000000000620                                                          -      -            
     0.10%  [.] 0x0000000000000604                                                          -      -            
     0.10%  [.] 0x0000000000000564                                                          -      -            
     0.10%  [.] 0x000000000000060c                                                          -      -            
     0.10%  [.] 0x0000000000000598                                                          -      -            
     0.10%  [.] 0x000000000000055c                                                          -      -            
     0.10%  [.] 0x0000000000000558                                                          -      -            
     0.09%  [.] 0x0000000000000570                                                          -      -            
     0.09%  [.] 0x00000000000005bc                                                          -      -            
     0.09%  [.] 0x000000000000057c                                                          -      -            
     0.09%  [.] 0x0000000000000560                                                          -      -            
     0.09%  [.] 0x0000000000000600                                                          -      -            
     0.09%  [.] 0x00000000000005a8                                                          -      -            
     0.09%  [.] 0x0000000000000538                                                          -      -            
     0.09%  [.] 0x0000000000000550                                                          -      -            
     0.08%  [.] 0x0000000000000540                                                          -      -            
     0.08%  [.] 0x000000000000056c                                                          -      -            
     0.08%  [.] 0x00000000000005a0                                                          -      -            
     0.08%  [.] 0x00000000000005e8                                                          -      -            
     0.08%  [.] 0x00000000000a1d7c                                                          -      -            
     0.08%  [.] 0x00000000000005f0                                                          -      -            
     0.08%  [.] 0x0000000000000548                                                          -      -            
     0.08%  [.] 0x00000000000005ac                                                          -      -            
     0.08%  [.] 0x00000000000005f8                                                          -      -            
     0.08%  [.] 0x000000000000061c                                                          -      -            
     0.07%  [.] 0x00000000000005b4                                                          -      -            
     0.05%  [.] 0x0000000000000554                                                          -      -            
     0.02%  [.] 0x00000000000a1d70                                                          -      -            
     0.02%  [.] 0x00000000000a1d6c                                                          -      -            
     0.02%  [.] 0x00000000000a1d4c                                                          -      -            
     0.01%  [.] 0x00000000000a1d60                                                          -      -            
     0.01%  [.] <std::time::SystemTime>::checked_add                                        -      -            
     0.01%  [.] 0x0000000000000610                                                          -      -            
     0.01%  [.] 0x0000000000000544                                                          -      -            
     0.01%  [.] 0x00000000000a1d88                                                          -      -            
     0.01%  [.] 0x0000000000000608                                                          -      -            
     0.01%  [.] 0x00000000000a1d94                                                          -      -            
     0.01%  [.] 0x00000000000005b8                                                          -      -            
     0.01%  [.] 0x0000000000000628                                                          -      -            
     0.01%  [.] 0x00000000000005b0                                                          -      -            
     0.01%  [.] 0x0000000000000618                                                          -      -            
     0.01%  [.] 0x00000000000a1d9c                                                          -      -            
     0.01%  [.] 0x00000000000a1d64                                                          -      -            
     0.01%  [.] 0x000000000000054c                                                          -      -            
     0.00%  [.] __aarch64_cas1_acq                                                          -      -            
     0.00%  [.] 0x00000000000a1d8c                                                          -      -            
     0.00%  [.] 0x00000000000a1d58                                                          -      -            
     0.00%  [.] 0x0000000000000588                                                          -      -            
     0.00%  [.] 0x00000000000a1d84                                                          -      -            
     0.00%  [.] 0x00000000000a1da8                                                          -      -            
     0.00%  [.] 0x00000000000a1d48                                                          -      -            
     0.00%  [.] 0x00000000000a1d68                                                          -      -            
     0.00%  [.] memcpy@plt                                                                  -      -            
     0.00%  [.] 0x00000000000a1da0                                                          -      -            
     0.00%  [k] 0xffffd57c307d9cbc                                                          -      -            
     0.00%  [.] 0x00000000000005cc                                                          -      -            
     0.00%  [.] 0x00000000000a1d5c                                                          -      -            
     0.00%  [.] __poll                                                                      -      -            
     0.00%  [.] 0x00000000001406e4                                                          -      -            
     0.00%  [.] 0x0000000000081a38                                                          -      -            
     0.00%  [.] 0x0000000000081a40                                                          -      -            
     0.00%  [.] 0x0000000000081a30                                                          -      -            
     0.00%  [.] 0x00000000001406dc                                                          -      -            
     0.00%  [.] 0x00000000001406d4                                                          -      -            
     0.00%  [.] 0x0000000000081a80                                                          -      -            
     0.00%  [.] 0x0000000000081a54                                                          -      -            
     0.00%  [.] 0x0000000000081a7c                                                          -      -            
     0.00%  [.] 0x00000000001406d0                                                          -      -            
     0.00%  [.] 0x0000000000081a3c                                                          -      -            
     0.00%  [.] 0x0000000000081a74                                                          -      -            
     0.00%  [.] 0x0000000000081a88                                                          -      -            
     0.00%  [.] 0x00000000001406d8                                                          -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
