zcnblk-shm-target: device=/dev/zcnblk-shmctl backend=Memory channels=32 ring_entries=64 payload_entries=256 slot_bytes=4096 region_bytes=33890304 capacity_bytes=4294967296 kick_batch=128 lease_release_batch=1 writeback_batch=0 read_batch=64 read_batch_fill_us=0 read_batch_fill_min=32 write_batch_fill_us=0 write_batch_fill_min=64 remote_leaf=none cpu_list=97,103,109,115,121,127,133,139,145,151,157,163,169,175,181,187,1,7,13,19,25,31,37,43,49,55,61,67,73,79,85,91 owner_dispatch=false owner_count=32 owner_extent_records=256 owner_max_tx_iovecs=960 split_transport=false transport_cpu_list=inline transport_wait=greedy poll_us=1000 busy_poll_us=1000 busy_hysteresis_us=10000 wait_policy=fixed-active ordering=per-channel-fifo+sector-lock shared_payload_slots=true payload_ownership=legacy-contiguous-hwm placement_owner=downstream-userspace-stage block_client_placement=no representative=true 
zcnblk-shm-target-topology: channel_worker_cpu_map=ch0:cpu97,ch1:cpu103,ch2:cpu109,ch3:cpu115,ch4:cpu121,ch5:cpu127,ch6:cpu133,ch7:cpu139,ch8:cpu145,ch9:cpu151,ch10:cpu157,ch11:cpu163,ch12:cpu169,ch13:cpu175,ch14:cpu181,ch15:cpu187,ch16:cpu1,ch17:cpu7,ch18:cpu13,ch19:cpu19,ch20:cpu25,ch21:cpu31,ch22:cpu37,ch23:cpu43,ch24:cpu49,ch25:cpu55,ch26:cpu61,ch27:cpu67,ch28:cpu73,ch29:cpu79,ch30:cpu85,ch31:cpu91 sector_lock_shards=16384 independent_sectors_parallel=true
zcnblk-shm-target-channel: channel=0 cpu=97 requests=20044 writes=10038 reads=10003 syncs=3 active_seconds=0.449471 active_iops=44595 kicks=159 idle_polls=13 lease_releases=20044
zcnblk-shm-target-channel: channel=1 cpu=103 requests=20000 writes=9998 reads=10002 syncs=0 active_seconds=0.447022 active_iops=44741 kicks=158 idle_polls=11 lease_releases=20000
zcnblk-shm-target-channel: channel=2 cpu=109 requests=20000 writes=9870 reads=10130 syncs=0 active_seconds=0.445998 active_iops=44843 kicks=158 idle_polls=14 lease_releases=20000
zcnblk-shm-target-channel: channel=3 cpu=115 requests=20000 writes=9900 reads=10100 syncs=0 active_seconds=0.446732 active_iops=44770 kicks=158 idle_polls=12 lease_releases=20000
zcnblk-shm-target-channel: channel=4 cpu=121 requests=20000 writes=10066 reads=9934 syncs=0 active_seconds=0.445650 active_iops=44878 kicks=158 idle_polls=13 lease_releases=20000
zcnblk-shm-target-channel: channel=5 cpu=127 requests=20000 writes=9806 reads=10194 syncs=0 active_seconds=0.445864 active_iops=44857 kicks=158 idle_polls=13 lease_releases=20000
zcnblk-shm-target-channel: channel=6 cpu=133 requests=20000 writes=9794 reads=10206 syncs=0 active_seconds=0.445553 active_iops=44888 kicks=158 idle_polls=13 lease_releases=20000
zcnblk-shm-target-channel: channel=7 cpu=139 requests=20239 writes=9954 reads=10285 syncs=0 active_seconds=0.465369 active_iops=43490 kicks=161 idle_polls=12 lease_releases=20239
zcnblk-shm-target-channel: channel=8 cpu=145 requests=20022 writes=10098 reads=9924 syncs=0 active_seconds=0.449292 active_iops=44563 kicks=160 idle_polls=12 lease_releases=20022
zcnblk-shm-target-channel: channel=9 cpu=151 requests=20000 writes=10126 reads=9874 syncs=0 active_seconds=0.446478 active_iops=44795 kicks=158 idle_polls=12 lease_releases=20000
zcnblk-shm-target-channel: channel=10 cpu=157 requests=20000 writes=10114 reads=9886 syncs=0 active_seconds=0.445967 active_iops=44846 kicks=158 idle_polls=12 lease_releases=20000
zcnblk-shm-target-channel: channel=11 cpu=163 requests=20000 writes=10138 reads=9862 syncs=0 active_seconds=0.446380 active_iops=44805 kicks=158 idle_polls=12 lease_releases=20000
zcnblk-shm-target-channel: channel=12 cpu=169 requests=20000 writes=10062 reads=9938 syncs=0 active_seconds=0.446570 active_iops=44786 kicks=158 idle_polls=12 lease_releases=20000
zcnblk-shm-target-channel: channel=13 cpu=175 requests=20000 writes=9946 reads=10054 syncs=0 active_seconds=0.446631 active_iops=44780 kicks=158 idle_polls=12 lease_releases=20000
zcnblk-shm-target-channel: channel=14 cpu=181 requests=20000 writes=10030 reads=9970 syncs=0 active_seconds=0.446915 active_iops=44751 kicks=158 idle_polls=13 lease_releases=20000
zcnblk-shm-target-channel: channel=15 cpu=187 requests=20000 writes=9926 reads=10074 syncs=0 active_seconds=0.447303 active_iops=44712 kicks=158 idle_polls=12 lease_releases=20000
zcnblk-shm-target-channel: channel=16 cpu=1 requests=20000 writes=10004 reads=9996 syncs=0 active_seconds=0.447332 active_iops=44710 kicks=158 idle_polls=12 lease_releases=20000
zcnblk-shm-target-channel: channel=17 cpu=7 requests=20000 writes=9956 reads=10044 syncs=0 active_seconds=0.449184 active_iops=44525 kicks=158 idle_polls=13 lease_releases=20000
