workload	lanes	touch	repeat	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	lane_cpu_map
zcnblk-shm-onramp	4	none	1	720675857	11807.553	11807.553	0	16384000000	256000000	0	256000000	0	0	0	68000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	none	2	715682509	11725.742	11725.742	0	16384000000	256000000	0	256000000	0	0	0	67000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	1	336835127	5518.707	5518.707	0	16384000000	256000000	1024000000	1280000000	0	2	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	2	349119560	5719.975	5719.975	0	16384000000	256000000	1024000000	1280000000	0	0	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-pipeline	4	none	1	517587192	8480.149	8480.149	0	16384000000	512000000	0	512000000	0	3	0	27000	0	13000	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	none	2	517859954	8484.617	8484.617	0	16384000000	512000000	0	512000000	0	0	0	28000	0	13000	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	cacheline	1	217749668	3567.611	3567.611	0	16384000000	512000000	1536000000	2048000000	0	0	0	83000	0	16000	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	cacheline	2	220549155	3613.477	3613.477	0	16384000000	512000000	1536000000	2048000000	0	3	0	49000	0	16000	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-mirror	4	none	1	467954915	7666.973	15333.947	0	32768000000	768000000	0	768000000	0	4	0	30000	0	23000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	none	2	458330929	7509.294	15018.588	0	32768000000	768000000	0	768000000	0	5	0	31000	0	23000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	1	226061072	3703.785	7407.569	0	32768000000	768000000	2048000000	2816000000	1	2	0	36000	0	26000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	2	224697149	3681.438	7362.876	0	32768000000	768000000	2048000000	2816000000	0	0	0	42000	0	26000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
