workload	lanes	touch	repeat	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	payload_slots_per_lane	ack_records	acks	ack_wait_seconds	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	ack_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	fan_leaf_ack_wait_p50_ns	lane_cpu_map
zcnblk-shm-onramp	4	none	1	700168443	11471.560	11471.560	0	16384000000	256000000	0	256000000	8192	0	0	0.000000	0	1	0	66000	0	0			lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	none	2	718312755	11768.836	11768.836	0	16384000000	256000000	0	256000000	8192	0	0	0.000000	0	1	0	66000	0	0			lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	none	3	714986081	11714.332	11714.332	0	16384000000	256000000	0	256000000	8192	0	0	0.000000	0	0	0	66000	0	0			lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	1	328110175	5375.757	5375.757	0	16384000000	256000000	1024000000	1280000000	8192	0	0	0.000000	0	1	0	66000	0	0			lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	2	332772182	5452.139	5452.139	0	16384000000	256000000	1024000000	1280000000	8192	0	0	0.000000	0	0	0	67000	0	0			lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	3	346717120	5680.613	5680.613	0	16384000000	256000000	1024000000	1280000000	8192	0	0	0.000000	0	0	0	67000	0	0			lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-pipeline	4	none	1	521831166	8549.682	8549.682	0	16384000000	512000000	0	512000000	8192	0	0	0.000000	0	0	0	26000	0	0	14000	0	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	none	2	515801548	8450.893	8450.893	0	16384000000	512000000	0	512000000	8192	0	0	0.000000	0	3	0	27000	0	0	14000	0	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	none	3	513577051	8414.446	8414.446	0	16384000000	512000000	0	512000000	8192	0	0	0.000000	0	2	0	27000	0	0	14000	0	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	cacheline	1	230740002	3780.444	3780.444	0	16384000000	512000000	1536000000	2048000000	8192	0	0	0.000000	0	3	0	74000	0	0	16000	0	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
