workload	lanes	touch	repeat	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	payload_slots_per_lane	ack_records	acks	ack_wait_seconds	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	ack_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	fan_leaf_ack_wait_p50_ns	hwm_only_results	lane_cpu_map
zcnblk-shm-mirror	4	none	1	700254735	11472.974	22945.947	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	0	0	7000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	none	2	657135464	10766.507	21533.015	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	5	0	7000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	none	3	4092593	67.053	134.106	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	999	0	59000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	1	124733421	2043.632	4087.265	0	32768000000	768000000	2048000000	2816000000	8192	0	0	0.000000	0	43	0	14000	0	0	8000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	2	50110651	821.013	1642.026	0	32768000000	768000000	2048000000	2816000000	8192	0	0	0.000000	0	231	0	41000	0	0	8000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	3	150235306	2461.455	4922.911	0	32768000000	768000000	2048000000	2816000000	8192	0	0	0.000000	0	94	0	30000	0	0	8000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	none	1	670743670	7326.310	14652.619	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	14	0	10000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	none	2	290772248	3176.008	6352.017	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	16	0	9000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	none	3	531409748	5804.412	11608.823	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	70	0	8000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	cacheline	1	340621614	3720.496	7440.993	0	32768000000	768000000	2048000000	2816000000	8192	0	0	0.000000	0	122	0	13000	0	0	8000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
