workload	lanes	touch	repeat	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	payload_slots_per_lane	ack_records	acks	ack_wait_seconds	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	ack_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	fan_leaf_ack_wait_p50_ns	hwm_only_results	lane_cpu_map
zcnblk-shm-mirror	4	none	1	749256667	12275.821	24551.642	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	0	0	8000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	none	2	730054167	11961.207	23922.415	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	1	0	7000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	none	3	741251449	12144.664	24289.327	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	3	0	7000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	1	280953341	4603.140	9206.279	0	32768000000	768000000	2048000000	2816000000	8192	0	0	0.000000	0	2	0	14000	0	0	7000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	2	269113283	4409.152	8818.304	0	32768000000	768000000	2048000000	2816000000	8192	0	0	0.000000	0	0	0	30000	0	0	7000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	3	274790160	4502.162	9004.324	0	32768000000	768000000	2048000000	2816000000	8192	0	0	0.000000	0	3	0	15000	0	0	8000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	none	1	684588470	7477.532	14955.063	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	2	0	6000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	none	2	651435914	7115.417	14230.835	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	1	0	6000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	none	3	663508624	7247.284	14494.567	0	32768000000	768000000	0	768000000	8192	0	0	0.000000	0	0	0	11000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	cacheline	1	335727800	3667.043	7334.086	0	32768000000	768000000	2048000000	2816000000	8192	0	0	0.000000	0	3	0	63000	0	0	7000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
