workload	lanes	touch	repeat	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	observed_payload_touch_bytes	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	lane_cpu_map
zcnblk-shm-onramp	1	none	1	168025903	2752.936	2752.936	0	0	0	0	0	68000	0		lane0:client-onrampcpu0->fan-ingresscpu1
zcnblk-shm-onramp	1	none	2	163823018	2684.076	2684.076	0	0	0	0	0	68000	0		lane0:client-onrampcpu0->fan-ingresscpu1
zcnblk-shm-onramp	1	cacheline	1	53983885	884.472	884.472	0	76800000	0	0	0	65000	0		lane0:client-onrampcpu0->fan-ingresscpu1
zcnblk-shm-onramp	1	cacheline	2	54677695	895.839	895.839	0	76800000	0	0	0	65000	0		lane0:client-onrampcpu0->fan-ingresscpu1
zcnblk-shm-onramp	2	none	1	364282579	5968.406	5968.406	0	0	0	0	0	67000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3
zcnblk-shm-onramp	2	none	2	347540197	5694.099	5694.099	0	0	0	0	0	67000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3
zcnblk-shm-onramp	2	cacheline	1	95967164	1572.326	1572.326	0	153600000	0	10	0	65000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3
zcnblk-shm-onramp	2	cacheline	2	102381810	1677.424	1677.424	0	153600000	0	0	0	65000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3
zcnblk-shm-onramp	4	none	1	642195624	10521.733	10521.733	0	0	0	1	0	68000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	none	2	662644964	10856.775	10856.775	0	0	0	0	0	67000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	1	157616533	2582.389	2582.389	0	307200000	0	0	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	2	161483647	2645.748	2645.748	0	307200000	0	0	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-pipeline	1	none	1	129311014	2118.632	2118.632	0	0	0	0	0	28000	0	13000	lane0:client_cpu0->fan_cpu1->leaf_cpu2
zcnblk-shm-pipeline	1	none	2	138537286	2269.795	2269.795	0	0	0	0	0	19000	0	13000	lane0:client_cpu0->fan_cpu1->leaf_cpu2
zcnblk-shm-pipeline	1	cacheline	1	49679135	813.943	813.943	0	115200000	0	0	0	62000	0	16000	lane0:client_cpu0->fan_cpu1->leaf_cpu2
zcnblk-shm-pipeline	1	cacheline	2	50164104	821.889	821.889	0	115200000	0	0	0	64000	0	16000	lane0:client_cpu0->fan_cpu1->leaf_cpu2
