workload	lanes	touch	repeat	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	lane_cpu_map
zcnblk-shm-onramp	4	cacheline	1	226286517	3707.478	3707.478	0	8192000000	128000000	512000000	640000000	0	0	0	67000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	2	226740840	3714.922	3714.922	0	8192000000	128000000	512000000	640000000	0	0	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	3	226427920	3709.795	3709.795	0	8192000000	128000000	512000000	640000000	0	0	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	full	1	22833307	374.101	374.101	0	8192000000	128000000	16384000000	16512000000	0	12	0	539000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	full	2	28387675	465.104	465.104	0	8192000000	128000000	16384000000	16512000000	0	2	0	446000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	full	3	15128166	247.860	247.860	0	8192000000	128000000	16384000000	16512000000	0	6	0	2000000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-pipeline	4	cacheline	1	166361684	2725.670	2725.670	0	8192000000	256000000	768000000	1024000000	0	5	0	72000	0	18000	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	cacheline	2	169157475	2771.476	2771.476	0	8192000000	256000000	768000000	1024000000	0	0	0	46000	0	16000	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	cacheline	3	163129868	2672.720	2672.720	0	8192000000	256000000	768000000	1024000000	0	0	0	66000	0	16000	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	full	1	15159328	248.370	248.370	0	8192000000	256000000	24576000000	24832000000	0	20	0	578000	0	296000	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	full	2	14615227	239.456	239.456	0	8192000000	256000000	24576000000	24832000000	0	1	0	551000	0	309000	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	full	3	15379381	251.976	251.976	0	8192000000	256000000	24576000000	24832000000	0	7	0	595000	0	326000	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-mirror	4	cacheline	1	143546319	2351.863	4703.726	0	16384000000	384000000	1024000000	1408000000	0	3	0	43000	0	28000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	2	153501867	2514.975	5029.949	0	16384000000	384000000	1024000000	1408000000	0	0	0	42000	0	27000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	3	149832487	2454.855	4909.711	0	16384000000	384000000	1024000000	1408000000	0	1	0	98000	0	28000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	full	1	10959668	179.563	359.126	0	16384000000	384000000	32768000000	33152000000	0	21	0	377000	0	210000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	full	2	11131788	182.383	364.766	0	16384000000	384000000	32768000000	33152000000	0	4	0	422000	0	250000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	full	3	10811675	177.138	354.277	0	16384000000	384000000	32768000000	33152000000	1	12	0	416000	0	224000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
