workload	lanes	touch	repeat	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	payload_slots_per_lane	ack_records	acks	ack_wait_seconds	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	ack_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	fan_leaf_ack_wait_p50_ns	hwm_only_results	lane_cpu_map
zcnblk-shm-onramp	3	cacheline	1	726239882	11898.714	11898.714	0	12288000000	192000000	768000000	960000000	8192	0	0	0.000000	0	0	0	11000	0	0			true	lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5
zcnblk-shm-onramp	3	cacheline	2	601823163	9860.271	9860.271	0	12288000000	192000000	768000000	960000000	8192	0	0	0.000000	0	0	0	12000	0	0			true	lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5
zcnblk-shm-onramp	3	cacheline	3	578140563	9472.255	9472.255	0	12288000000	192000000	768000000	960000000	8192	0	0	0.000000	0	0	0	11000	0	0			true	lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5
zcnblk-shm-onramp	4	cacheline	1	748810561	12268.512	12268.512	0	16384000000	256000000	1024000000	1280000000	8192	0	0	0.000000	0	1	0	11000	0	0			true	lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	2	677518824	11100.468	11100.468	0	16384000000	256000000	1024000000	1280000000	8192	0	0	0.000000	0	0	0	11000	0	0			true	lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	3	700981093	11484.874	11484.874	0	16384000000	256000000	1024000000	1280000000	8192	0	0	0.000000	0	0	0	13000	0	0			true	lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-pipeline	3	cacheline	1	188347085	3085.879	3085.879	0	12288000000	384000000	1152000000	1536000000	8192	0	0	0.000000	0	0	0	17000	0	0	8000	0	true	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8
zcnblk-shm-pipeline	3	cacheline	2	189090601	3098.060	3098.060	0	12288000000	384000000	1152000000	1536000000	8192	0	0	0.000000	0	0	0	16000	0	0	8000	0	true	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8
zcnblk-shm-pipeline	3	cacheline	3	183386817	3004.610	3004.610	0	12288000000	384000000	1152000000	1536000000	8192	0	0	0.000000	0	0	0	21000	0	0	8000	0	true	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8
zcnblk-shm-pipeline	4	cacheline	1	226209619	3706.218	3706.218	0	16384000000	512000000	1536000000	2048000000	8192	0	0	0.000000	0	0	0	17000	0	0	8000	0	true	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
