window=1 first_record_iops=11183.61 leaf_record_iops=10488.17 durable_frame_ceiling_iops=10488.17
window=2 first_record_iops=34986.34 leaf_record_iops=33158.95 durable_frame_ceiling_iops=33158.95
window=4 first_record_iops=55833.39 leaf_record_iops=56827.72 durable_frame_ceiling_iops=55833.39
window=8 first_record_iops=68422.53 leaf_record_iops=69436.52 durable_frame_ceiling_iops=68422.53
window=16 first_record_iops=73890.04 leaf_record_iops=74383.87 durable_frame_ceiling_iops=73890.04
window=32 first_record_iops=80325.22 leaf_record_iops=81551.48 durable_frame_ceiling_iops=80325.22
window=64 first_record_iops=78898.70 leaf_record_iops=79781.41 durable_frame_ceiling_iops=78898.70
window=128 first_record_iops=81107.63 leaf_record_iops=81082.31 durable_frame_ceiling_iops=81082.31
window=256 first_record_iops=85304.90 leaf_record_iops=85105.93 durable_frame_ceiling_iops=85105.93
window=512 first_record_iops=89312.56 leaf_record_iops=89045.98 durable_frame_ceiling_iops=89045.98
window=1024 first_record_iops=89054.32 leaf_record_iops=88628.50 durable_frame_ceiling_iops=88628.50
window=2048 first_record_iops=88864.38 leaf_record_iops=88540.07 durable_frame_ceiling_iops=88540.07
window=4096 first_record_iops=87898.37 leaf_record_iops=88994.34 durable_frame_ceiling_iops=87898.37
