window	repeat	frames	payload_bytes	worker_qd	lanes	aggregate_outstanding	elapsed_s	actual_frame_iops	mib_s	raw_tcp_rtt_us	durable_theoretical_iops	efficiency_pct	completion
256	1	65536	32768	256	1	256	3.037687	21574.31	674.20	109.084	82127.62	26.27	remotely-acknowledged-both-fdatasync
256	2	65536	32768	256	1	256	3.005387	21806.18	681.44	109.084	82127.62	26.55	remotely-acknowledged-both-fdatasync
256	3	65536	32768	256	1	256	3.035849	21587.37	674.61	109.084	82127.62	26.29	remotely-acknowledged-both-fdatasync
512	1	65536	32768	512	1	512	2.875008	22795.07	712.35	109.084	87388.08	26.08	remotely-acknowledged-both-fdatasync
512	2	65536	32768	512	1	512	2.869055	22842.36	713.82	109.084	87388.08	26.14	remotely-acknowledged-both-fdatasync
512	3	65536	32768	512	1	512	2.866557	22862.27	714.45	109.084	87388.08	26.16	remotely-acknowledged-both-fdatasync
1024	1	65536	32768	1024	1	1024	2.810915	23314.83	728.59	109.084	87799.55	26.55	remotely-acknowledged-both-fdatasync
1024	2	65536	32768	1024	1	1024	2.797418	23427.32	732.10	109.084	87799.55	26.68	remotely-acknowledged-both-fdatasync
1024	3	65536	32768	1024	1	1024	2.809284	23328.36	729.01	109.084	87799.55	26.57	remotely-acknowledged-both-fdatasync
2048	1	65536	32768	2048	1	2048	2.817291	23262.06	726.94	109.084	88124.48	26.40	remotely-acknowledged-both-fdatasync
2048	2	65536	32768	2048	1	2048	2.827434	23178.61	724.33	109.084	88124.48	26.30	remotely-acknowledged-both-fdatasync
2048	3	65536	32768	2048	1	2048	2.807819	23340.54	729.39	109.084	88124.48	26.49	remotely-acknowledged-both-fdatasync
4096	1	65536	32768	4096	1	4096	2.944270	22258.83	695.59	109.084	87693.09	25.38	remotely-acknowledged-both-fdatasync
4096	2	65536	32768	4096	1	4096	2.828344	23171.16	724.10	109.084	87693.09	26.42	remotely-acknowledged-both-fdatasync
4096	3	65536	32768	4096	1	4096	2.938401	22303.29	696.98	109.084	87693.09	25.43	remotely-acknowledged-both-fdatasync
