window	repeat	frames	payload_bytes	worker_qd	lanes	aggregate_outstanding	elapsed_s	actual_frame_iops	mib_s	raw_tcp_rtt_us	durable_theoretical_iops	efficiency_pct	completion
1	1	8192	32768	1	1	1	2.605375	3144.27	98.26	109.084	4891.66	64.28	remotely-acknowledged-both-fdatasync
1	2	8192	32768	1	1	1	3.143960	2605.63	81.43	109.084	4891.66	53.27	remotely-acknowledged-both-fdatasync
1	3	8192	32768	1	1	1	2.772154	2955.10	92.35	109.084	4891.66	60.41	remotely-acknowledged-both-fdatasync
2	1	8192	32768	2	1	2	2.150905	3808.63	119.02	109.084	11806.40	32.26	remotely-acknowledged-both-fdatasync
2	2	8192	32768	2	1	2	2.162965	3787.39	118.36	109.084	11806.40	32.08	remotely-acknowledged-both-fdatasync
2	3	8192	32768	2	1	2	2.141076	3826.11	119.57	109.084	11806.40	32.41	remotely-acknowledged-both-fdatasync
4	1	8192	32768	4	1	4	1.347790	6078.10	189.94	109.084	22133.00	27.46	remotely-acknowledged-both-fdatasync
4	2	8192	32768	4	1	4	1.288444	6358.06	198.69	109.084	22133.00	28.73	remotely-acknowledged-both-fdatasync
4	3	8192	32768	4	1	4	1.325756	6179.12	193.10	109.084	22133.00	27.92	remotely-acknowledged-both-fdatasync
8	1	8192	32768	8	1	8	0.888821	9216.70	288.02	109.084	35397.50	26.04	remotely-acknowledged-both-fdatasync
8	2	8192	32768	8	1	8	0.884423	9262.54	289.45	109.084	35397.50	26.17	remotely-acknowledged-both-fdatasync
8	3	8192	32768	8	1	8	0.915637	8946.78	279.59	109.084	35397.50	25.28	remotely-acknowledged-both-fdatasync
16	1	8192	32768	16	1	16	0.625220	13102.60	409.46	109.084	49136.70	26.67	remotely-acknowledged-both-fdatasync
16	2	8192	32768	16	1	16	0.680192	12043.70	376.36	109.084	49136.70	24.51	remotely-acknowledged-both-fdatasync
16	3	8192	32768	16	1	16	0.661421	12385.50	387.05	109.084	49136.70	25.21	remotely-acknowledged-both-fdatasync
32	1	8192	32768	32	1	32	0.521265	15715.60	491.11	109.084	63058.60	24.92	remotely-acknowledged-both-fdatasync
32	2	8192	32768	32	1	32	0.532489	15384.40	480.76	109.084	63058.60	24.40	remotely-acknowledged-both-fdatasync
32	3	8192	32768	32	1	32	0.522454	15679.80	489.99	109.084	63058.60	24.87	remotely-acknowledged-both-fdatasync
64	1	8192	32768	64	1	64	0.457051	17923.60	560.11	109.084	69546.30	25.77	remotely-acknowledged-both-fdatasync
64	2	8192	32768	64	1	64	0.468799	17474.40	546.08	109.084	69546.30	25.13	remotely-acknowledged-both-fdatasync
64	3	8192	32768	64	1	64	0.466945	17543.80	548.24	109.084	69546.30	25.23	remotely-acknowledged-both-fdatasync
128	1	8192	32768	128	1	128	0.427043	19183.10	599.47	109.084	75841.70	25.29	remotely-acknowledged-both-fdatasync
128	2	8192	32768	128	1	128	0.406877	20133.80	629.18	109.084	75841.70	26.55	remotely-acknowledged-both-fdatasync
128	3	8192	32768	128	1	128	0.407850	20085.80	627.68	109.084	75841.70	26.48	remotely-acknowledged-both-fdatasync
