window	repeat	frames	payload_bytes	worker_qd	lanes	aggregate_outstanding	elapsed_s	actual_frame_iops	mib_s	raw_tcp_rtt_us	durable_theoretical_iops	efficiency_pct	completion
1	1	8192	32768	1	1	1	82.052863	99.84	3.12	109.084	4891.66	2.04	remotely-acknowledged-both-fdatasync
1	2	8192	32768	1	1	1	64.519057	126.97	3.97	109.084	4891.66	2.60	remotely-acknowledged-both-fdatasync
1	3	8192	32768	1	1	1	104.850195	78.13	2.44	109.084	4891.66	1.60	remotely-acknowledged-both-fdatasync
2	1	8192	32768	2	1	2	1.811784	4521.51	141.30	109.084	11806.40	38.30	remotely-acknowledged-both-fdatasync
2	2	8192	32768	2	1	2	1.780257	4601.58	143.80	109.084	11806.40	38.98	remotely-acknowledged-both-fdatasync
2	3	8192	32768	2	1	2	2.209322	3707.92	115.87	109.084	11806.40	31.41	remotely-acknowledged-both-fdatasync
4	1	8192	32768	4	1	4	1.204601	6800.59	212.52	109.084	22133.00	30.73	remotely-acknowledged-both-fdatasync
4	2	8192	32768	4	1	4	1.681065	4873.10	152.28	109.084	22133.00	22.02	remotely-acknowledged-both-fdatasync
4	3	8192	32768	4	1	4	1.226931	6676.82	208.65	109.084	22133.00	30.17	remotely-acknowledged-both-fdatasync
8	1	8192	32768	8	1	8	0.862672	9496.08	296.75	109.084	35397.50	26.83	remotely-acknowledged-both-fdatasync
8	2	8192	32768	8	1	8	1.270266	6449.04	201.53	109.084	35397.50	18.22	remotely-acknowledged-both-fdatasync
8	3	8192	32768	8	1	8	0.945230	8666.67	270.83	109.084	35397.50	24.48	remotely-acknowledged-both-fdatasync
16	1	8192	32768	16	1	16	0.939394	8720.52	272.52	109.084	49136.70	17.75	remotely-acknowledged-both-fdatasync
16	2	8192	32768	16	1	16	0.728248	11248.90	351.53	109.084	49136.70	22.89	remotely-acknowledged-both-fdatasync
16	3	8192	32768	16	1	16	0.624088	13126.40	410.20	109.084	49136.70	26.71	remotely-acknowledged-both-fdatasync
32	1	8192	32768	32	1	32	0.541020	15141.80	473.18	109.084	63058.60	24.01	remotely-acknowledged-both-fdatasync
32	2	8192	32768	32	1	32	0.571919	14323.70	447.62	109.084	63058.60	22.71	remotely-acknowledged-both-fdatasync
32	3	8192	32768	32	1	32	0.518658	15794.60	493.58	109.084	63058.60	25.05	remotely-acknowledged-both-fdatasync
64	1	8192	32768	64	1	64	0.448656	18259.00	570.59	109.084	69546.30	26.25	remotely-acknowledged-both-fdatasync
64	2	8192	32768	64	1	64	0.672418	12182.90	380.72	109.084	69546.30	17.52	remotely-acknowledged-both-fdatasync
64	3	8192	32768	64	1	64	0.657946	12450.90	389.09	109.084	69546.30	17.90	remotely-acknowledged-both-fdatasync
128	1	8192	32768	128	1	128	0.435974	18790.10	587.19	109.084	75841.70	24.78	remotely-acknowledged-both-fdatasync
128	2	8192	32768	128	1	128	0.411765	19894.80	621.71	109.084	75841.70	26.23	remotely-acknowledged-both-fdatasync
128	3	8192	32768	128	1	128	0.404759	20239.20	632.47	109.084	75841.70	26.69	remotely-acknowledged-both-fdatasync
