[2026-08-08T11:30:47.593-0400][0.002s][2871666][2871784][debug] Minimum heap 2147483648  Initial heap 2147483648  Maximum heap 2147483648
[2026-08-08T11:30:47.593-0400][0.002s][2871666][2871784][info ] Using G1
[2026-08-08T11:30:47.593-0400][0.002s][2871666][2871784][trace] Trying to allocate at address 0x0000000080000000 heap of size 0x80000000
[2026-08-08T11:30:47.593-0400][0.002s][2871666][2871784][debug] Heap address: 0x0000000080000000, size: 2048 MB, Compressed Oops mode: 32-bit
[2026-08-08T11:30:47.594-0400][0.003s][2871666][2871784][debug] Expand the heap. requested expansion amount: 2147483648B expansion amount: 2147483648B
[2026-08-08T11:30:47.594-0400][0.003s][2871666][2871784][debug] Running G1 PreTouch with 32 workers for 512 work units pre-touching 2147483648B.
[2026-08-08T11:30:47.701-0400][0.110s][2871666][2871784][debug] Running G1 PreTouch with 8 workers for 8 work units pre-touching 33554432B.
[2026-08-08T11:30:47.702-0400][0.112s][2871666][2871784][debug] Running G1 PreTouch with 8 workers for 8 work units pre-touching 33554432B.
[2026-08-08T11:30:47.704-0400][0.113s][2871666][2871784][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 4194304B.
[2026-08-08T11:30:47.704-0400][0.114s][2871666][2871784][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 4194304B.
[2026-08-08T11:30:47.705-0400][0.114s][2871666][2871784][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 4194304B.
[2026-08-08T11:30:47.705-0400][0.115s][2871666][2871784][debug] Activate regions [0, 128)
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2094: was 0x00000000fef55c40
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2095: was 0x00000000fef5c158
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2096: was 0x00000000fef55798
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2097: was 0x00000000fef59a98
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2098: was 0x00000000fef55b58
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2099: was 0x00000000fef5c070
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2100: was 0x00000000fef5bd10
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2101: was 0x00000000fef607c8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2102: was 0x00000000fef622d8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2103: was 0x00000000fef61030
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2104: was 0x00000000fef65338
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2105: was 0x00000000fef65050
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2106: was 0x00000000fef5bf88
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2107: was 0x00000000fef5dc08
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2108: was 0x00000000fef5e008
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2109: was 0x00000000fef62e48
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2110: was 0x00000000fef5e210
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2111: was 0x00000000fef5a6e8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2112: was 0x00000000fef59638
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2113: was 0x00000000fef55a70
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2114: was 0x00000000fef5d1a8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2115: was 0x00000000fef60b10
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2116: was 0x00000000fef63140
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2117: was 0x00000000fef59108
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2118: was 0x00000000fef62c60
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2119: was 0x00000000fef5c518
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2120: was 0x00000000fef63688
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2121: was 0x00000000fef633d8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2122: was 0x00000000fef65f90
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2123: was 0x00000000fef5d510
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2124: was 0x00000000fef60bf8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2125: was 0x00000000fef61c68
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2126: was 0x00000000fef5c8c0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2127: was 0x00000000fef599b0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2128: was 0x00000000fef5c3d0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2129: was 0x00000000fef62120
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2130: was 0x00000000fef67710
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2131: was 0x00000000fef67c38
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2132: was 0x00000000fef634e0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2133: was 0x00000000fef66e70
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2134: was 0x00000000fef67280
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2135: was 0x00000000fef66c08
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2136: was 0x00000000fef67078
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2137: was 0x00000000fef601e0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2138: was 0x00000000fef5b420
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2139: was 0x00000000fef56238
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2140: was 0x00000000fef5a5e0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2141: was 0x00000000fef5b8e8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2142: was 0x00000000fef61a30
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2143: was 0x00000000fef5b9d0
