root=bench-results/zcnblk0-fan-zcbrd-batch64-20260604T174621Z
lane_map=laneN->zcnblk kthread CPU N, fan handler CPU N, leaf handler CPU N for N=0..7
terminal_leaves=/dev/zcbrd0,/dev/zcbrd1; userspace fan owns stripe placement; client coalescing only, no client placement
client_params=batch_depth=64 batch_fill_timeout_us=20 max_frame_bytes=393216 queue_depth=256 pipeline_depth=128
2813168 2813168  16 zcnblk-wal-leaf
2813168 2813285   0 zcnblk-wal-leaf
2813168 2813286   1 zcnblk-wal-leaf
2813168 2813287   2 zcnblk-wal-leaf
2813168 2813288   3 zcnblk-wal-leaf
2813168 2813290   4 zcnblk-wal-leaf
2813168 2813291   1 zcnblk-wal-leaf
2813168 2813292   5 zcnblk-wal-leaf
2813168 2813293   2 zcnblk-wal-leaf
2813168 2813298   3 zcnblk-wal-leaf
2813168 2813302   6 zcnblk-wal-leaf
2813168 2813305   0 zcnblk-wal-leaf
2813168 2813309   4 zcnblk-wal-leaf
2813168 2813311   5 zcnblk-wal-leaf
2813168 2813313   7 zcnblk-wal-leaf
2813168 2813314   6 zcnblk-wal-leaf
2813168 2813315   7 zcnblk-wal-leaf
2813169 2813169  15 zcnblk-wal-leaf
2813169 2813289   0 zcnblk-wal-leaf
2813169 2813294   1 zcnblk-wal-leaf
2813169 2813295   2 zcnblk-wal-leaf
2813169 2813296   3 zcnblk-wal-leaf
2813169 2813297   4 zcnblk-wal-leaf
2813169 2813299   5 zcnblk-wal-leaf
2813169 2813300   6 zcnblk-wal-leaf
2813169 2813301   0 zcnblk-wal-leaf
2813169 2813303   1 zcnblk-wal-leaf
2813169 2813304   7 zcnblk-wal-leaf
2813169 2813306   5 zcnblk-wal-leaf
2813169 2813307   2 zcnblk-wal-leaf
2813169 2813308   3 zcnblk-wal-leaf
2813169 2813310   4 zcnblk-wal-leaf
2813169 2813312   6 zcnblk-wal-leaf
2813169 2813316   7 zcnblk-wal-leaf
2813223 2813223  30 zcnblk-fan
2813223 2813277   0 zcnblk-fan
2813223 2813278   1 zcnblk-fan
2813223 2813279   2 zcnblk-fan
2813223 2813280   3 zcnblk-fan
2813223 2813281   4 zcnblk-fan
2813223 2813282   5 zcnblk-fan
2813223 2813283   6 zcnblk-fan
2813223 2813284   7 zcnblk-fan
2813269 2813269   0 zcnblk-0-0
2813270 2813270   1 zcnblk-1-0
2813271 2813271   2 zcnblk-2-0
2813272 2813272   3 zcnblk-3-0
2813273 2813273   4 zcnblk-4-0
2813274 2813274   5 zcnblk-5-0
2813275 2813275   6 zcnblk-6-0
2813276 2813276   7 zcnblk-7-0
