zcnblk0-batch64-window1-randwrite: (g=0): rw=randwrite, bs=(R) 4096B-4096B, (W) 4096B-4096B, (T) 4096B-4096B, ioengine=io_uring, iodepth=64
...
fio-3.39
Starting 8 processes

fio: terminating on signal 15
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=445935616, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=112586752, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=141602816, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=4861952, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=364015616, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=7237632, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=225763328, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=344915968, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=451108864, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=431509504, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=280002560, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=112193536, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=11554816, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=155811840, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=458739712, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=297123840, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=103665664, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=437624832, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=434868224, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=24023040, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=240410624, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=67653632, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=349130752, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=236392448, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=293011456, buflen=4096
