transport,mode,workers,per_worker_qd,aggregate_qd,current_tag,base_tag,current_iops,base_iops,change_pct,current_spread_pct,base_spread_pct
efa,read,1,1,1,gate-current-efa-read-w1-qd1,base-efa-read-w1-qd1,44864,44305,1.262,0.252,0.12
efa,read,1,16,16,current-efa-read-w1-qd16,base-efa-read-w1-qd16,245827,245230,0.243,0.112,0.209
efa,read,2,128,256,current-efa-read-w2-qd128,base-efa-read-w2-qd128,613731,609308,0.726,0.215,0.173
tcp,read,1,1,1,gate-current-tcp-read-w1-qd1,base-tcp-read-w1-qd1,27571,27806,-0.845,0.243,0.158
tcp,read,1,16,16,current-tcp-read-w1-qd16,base-tcp-read-w1-qd16,141994,144148,-1.494,0.067,0.068
tcp,read,2,128,256,current-tcp-read-w2-qd128,base-tcp-read-w2-qd128,563943,563943,0.0,0.002,0.001
tcp,rw,1,1,1,gate-current-tcp-rw-w1-qd1,base-tcp-rw-w1-qd1,52227,51926,0.58,0.155,0.129
tcp,rw,1,16,16,current-tcp-rw-w1-qd16,base-tcp-rw-w1-qd16,182178,181932,0.135,0.024,0.081
tcp,rw,2,128,256,current-tcp-rw-w2-qd128,base-tcp-rw-w2-qd128,602926,606052,-0.516,0.077,0.165
tcp,write,1,1,1,current-tcp-write-w1-qd1,base-tcp-write-w1-qd1,77302,77640,-0.435,0.079,0.033
tcp,write,1,16,16,current-tcp-write-w1-qd16,base-tcp-write-w1-qd16,188902,190718,-0.952,0.121,0.39
tcp,write,2,128,256,current-tcp-write-w2-qd128,base-tcp-write-w2-qd128,569956,571652,-0.297,0.679,0.225
