tag,tree,transport,mode,workers,per_worker_qd,aggregate_qd,fua,variant,cohort,observed_cohorts,cohort_complete,repeat,ops_per_sec,latency_avg_us,latency_p50_us,latency_p95_us,latency_p99_us,cpu_ns_per_op,reported_completion,completion_semantic,source
base-efa-read-w1-qd1,base,efa,read,1,1,1,false,curve,1,1,true,1,44296,22.522,23.0,26.0,26.0,22575.9,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w1-qd1/results.log
base-efa-read-w1-qd1,base,efa,read,1,1,1,false,curve,1,1,true,2,44275,22.533,23.0,26.0,26.0,22586.5,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w1-qd1/results.log
base-efa-read-w1-qd1,base,efa,read,1,1,1,false,curve,1,1,true,3,44311,22.514,23.0,26.0,26.0,22567.7,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w1-qd1/results.log
base-efa-read-w1-qd1,base,efa,read,1,1,1,false,curve,1,1,true,4,44328,22.506,23.0,26.0,26.0,22559.2,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w1-qd1/results.log
base-efa-read-w1-qd16,base,efa,read,1,16,16,false,curve,1,1,true,1,244164,64.723,65.0,67.0,68.0,4095.7,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w1-qd16/results.log
base-efa-read-w1-qd16,base,efa,read,1,16,16,false,curve,1,1,true,2,245472,64.372,65.0,67.0,68.0,4074.0,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w1-qd16/results.log
base-efa-read-w1-qd16,base,efa,read,1,16,16,false,curve,1,1,true,3,244959,64.506,65.0,68.0,68.0,4082.5,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w1-qd16/results.log
base-efa-read-w1-qd16,base,efa,read,1,16,16,false,curve,1,1,true,4,245260,64.427,65.0,67.0,68.0,4077.4,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w1-qd16/results.log
base-efa-read-w2-qd128,base,efa,read,2,128,256,false,curve,1,1,true,1,605193,422.134,396.0,461.0,463.0,3300.4,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w2-qd128/results.log
base-efa-read-w2-qd128,base,efa,read,2,128,256,false,curve,1,1,true,2,609869,419.275,396.0,461.0,463.0,3278.2,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w2-qd128/results.log
