tag,tree,transport,mode,workers,per_worker_qd,aggregate_qd,fua,variant,cohort,observed_cohorts,cohort_complete,repeats,analyzed_repeats,mean_iops,min_iops,max_iops,spread_pct,all_repeat_mean_iops,latency_avg_us,latency_p50_us,latency_p95_us,latency_p99_us,cpu_ns_per_op,reported_completion,completion_semantic,source
base-efa-read-w1-qd1,base,efa,read,1,1,1,false,curve,1,1,true,4,"2,3,4",44305,44275,44328,0.12,44302,22.518,23.0,26.0,26.0,22571.1,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w1-qd1/results.log
base-efa-read-w1-qd16,base,efa,read,1,16,16,false,curve,1,1,true,4,"2,3,4",245230,244959,245472,0.209,244964,64.435,65.0,67.333,68.0,4078.0,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w1-qd16/results.log
base-efa-read-w2-qd128,base,efa,read,2,128,256,false,curve,1,1,true,4,"2,3,4",609308,608816,609869,0.173,608279,419.525,396.0,461.667,463.0,3280.1,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-efa-read-w2-qd128/results.log
base-tcp-read-w1-qd1,base,tcp,read,1,1,1,false,curve,1,1,true,4,"2,3,4",27806,27777,27821,0.158,27792,35.91,36.0,39.0,54.0,35964.0,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-tcp-read-w1-qd1/results.log
base-tcp-read-w1-qd16,base,tcp,read,1,16,16,false,curve,1,1,true,4,"2,3,4",144148,144102,144200,0.068,144112,110.46,120.0,124.0,126.333,6937.5,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-tcp-read-w1-qd16/results.log
base-tcp-read-w2-qd128,base,tcp,read,2,128,256,false,curve,1,1,true,4,"2,3,4",563943,563940,563945,0.001,563945,453.607,453.0,517.0,561.333,3546.5,missing,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-tcp-read-w2-qd128/results.log
base-tcp-rw-w1-qd1,base,tcp,rw,1,1,1,false,curve,1,1,true,4,"2,3,4",51926,51889,51956,0.129,51915,19.204,5.0,43.333,68.667,19258.4,missing,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-tcp-rw-w1-qd1/results.log
base-tcp-rw-w1-qd16,base,tcp,rw,1,16,16,false,curve,1,1,true,4,"2,3,4",181932,181837,181985,0.081,181883,87.33,64.0,127.0,129.0,5496.7,missing,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-tcp-rw-w1-qd16/results.log
base-tcp-rw-w2-qd128,base,tcp,rw,2,128,256,false,curve,1,1,true,4,"2,3,4",606052,605395,606397,0.165,606047,421.23,399.0,466.0,527.667,3294.6,missing,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-tcp-rw-w2-qd128/results.log
base-tcp-write-w1-qd1,base,tcp,write,1,1,1,false,curve,1,1,true,4,"2,3,4",77640,77630,77656,0.033,77637,12.827,5.0,47.0,61.0,12879.9,missing,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-tcp-write-w1-qd1/results.log
base-tcp-write-w1-qd16,base,tcp,write,1,16,16,false,curve,1,1,true,4,"2,3,4",190718,190335,191079,0.39,190524,83.108,66.0,123.0,127.0,5243.4,missing,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-tcp-write-w1-qd16/results.log
base-tcp-write-w2-qd128,base,tcp,write,2,128,256,false,curve,1,1,true,4,"2,3,4",571652,571053,572337,0.225,571295,444.482,399.667,589.0,983.0,3475.1,missing,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/base-tcp-write-w2-qd128/results.log
current-efa-read-w1-qd16,current,efa,read,1,16,16,false,curve,1,1,true,4,"2,3,4",245827,245713,245988,0.112,245624,64.276,64.333,67.0,68.0,4068.1,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-read-w1-qd16/results.log
current-efa-read-w1-qd2,current,efa,read,1,2,2,false,curve,1,1,true,4,"2,3,4",54057,54046,54074,0.052,54063,36.944,38.0,41.0,42.0,18499.0,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-read-w1-qd2/results.log
current-efa-read-w1-qd4,current,efa,read,1,4,4,false,curve,1,1,true,4,"2,3,4",98835,98799,98870,0.072,98842,40.368,40.0,46.0,47.0,10118.0,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-read-w1-qd4/results.log
current-efa-read-w1-qd8,current,efa,read,1,8,8,false,curve,1,1,true,4,"2,3,4",134406,134328,134456,0.095,134386,59.111,59.0,62.0,63.0,7440.2,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-read-w1-qd8/results.log
current-efa-read-w2-qd128,current,efa,read,2,128,256,false,curve,1,1,true,4,"2,3,4",613731,612931,614248,0.215,612753,416.481,393.0,458.0,460.0,3256.4,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-read-w2-qd128/results.log
current-efa-read-w2-qd256,current,efa,read,2,256,512,false,curve,1,1,true,4,"2,3,4",607886,607706,608084,0.062,606364,839.244,851.333,859.0,862.667,3279.9,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-read-w2-qd256/results.log
current-efa-read-w2-qd32,current,efa,read,2,32,64,false,curve,1,1,true,4,"2,3,4",595222,594682,595600,0.154,594854,106.842,133.0,136.333,138.0,3345.9,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-read-w2-qd32/results.log
current-efa-read-w2-qd64,current,efa,read,2,64,128,false,curve,1,1,true,4,"2,3,4",600659,600446,600855,0.068,599675,212.102,199.667,267.0,269.0,3318.8,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-read-w2-qd64/results.log
current-efa-rw-w1-qd16,current,efa,rw,1,16,16,false,curve,1,1,true,4,"2,3,4",204958,204825,205064,0.117,204646,77.349,65.0,127.0,129.667,4879.2,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-rw-w1-qd16/results.log
current-efa-rw-w1-qd2,current,efa,rw,1,2,2,false,curve,1,1,true,4,"2,3,4",96143,95995,96219,0.233,96020,20.716,19.0,45.0,49.0,10401.4,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-rw-w1-qd2/results.log
current-efa-rw-w1-qd4,current,efa,rw,1,4,4,false,curve,1,1,true,4,"2,3,4",139188,139132,139251,0.085,139024,28.61,21.0,60.0,73.0,7184.7,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-rw-w1-qd4/results.log
current-efa-rw-w1-qd8,current,efa,rw,1,8,8,false,curve,1,1,true,4,"2,3,4",127951,127735,128176,0.345,127913,62.116,60.0,64.0,118.667,7815.6,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-rw-w1-qd8/results.log
current-efa-rw-w2-qd128-framedfix,current,efa,rw,2,128,256,false,curve-framedfix,1,1,true,4,"2,3,4",609686,609339,610044,0.116,609664,419.258,396.333,462.667,464.333,3279.3,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-rw-w2-qd128-framedfix/results.log
current-efa-rw-w2-qd256-framedfix,current,efa,rw,2,256,512,false,curve-framedfix,1,1,true,4,"2,3,4",607508,607309,607635,0.054,607486,839.269,851.0,860.333,863.667,3279.9,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-rw-w2-qd256-framedfix/results.log
current-efa-rw-w2-qd32,current,efa,rw,2,32,64,false,curve,1,1,true,4,"2,3,4",594854,594717,595061,0.058,594680,107.033,132.0,137.0,140.333,3356.3,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-rw-w2-qd32/results.log
current-efa-rw-w2-qd64-framedfix,current,efa,rw,2,64,128,false,curve-framedfix,1,1,true,4,"2,3,4",597566,597313,597799,0.081,597284,212.992,201.0,268.667,271.0,3334.5,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-rw-w2-qd64-framedfix/results.log
current-efa-write-w1-qd1,current,efa,write,1,1,1,false,curve,1,1,true,4,"2,3,4",40123,40101,40144,0.107,38956,24.87,5.0,106.667,110.0,24923.1,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-write-w1-qd1/results.log
current-efa-write-w1-qd1-fua,current,efa,write,1,1,1,true,curve-fua,1,1,true,4,"2,3,4",16101,16091,16113,0.137,15885,62.055,61.0,65.0,67.667,62108.9,per-write-fua-dsync,remote-fua-drain,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-write-w1-qd1-fua/results.log
current-efa-write-w1-qd16,current,efa,write,1,16,16,false,curve,2,2,true,4,"2,3,4",206401,205743,207283,0.746,184905,76.732,65.667,123.0,128.0,4845.1,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-write-w1-qd16/results.log
current-efa-write-w1-qd2,current,efa,write,1,2,2,false,curve,2,2,true,4,"2,3,4",71597,71490,71762,0.38,68045,27.828,6.0,110.0,114.0,13967.3,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-write-w1-qd2/results.log
current-efa-write-w1-qd4,current,efa,write,1,4,4,false,curve,2,2,true,4,"2,3,4",120176,119867,120459,0.493,111344,33.08,7.333,105.0,109.0,8321.2,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-write-w1-qd4/results.log
current-efa-write-w1-qd8,current,efa,write,1,8,8,false,curve,2,2,true,4,"2,3,4",129976,129905,130066,0.124,119828,61.139,60.0,63.0,114.333,7693.8,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-write-w1-qd8/results.log
current-efa-write-w2-qd128,current,efa,write,2,128,256,false,curve,1,1,true,4,"2,3,4",603223,603095,603475,0.063,542544,422.452,399.0,466.0,468.0,3302.9,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-write-w2-qd128/results.log
current-efa-write-w2-qd256,current,efa,write,2,256,512,false,curve,1,1,true,4,"2,3,4",607465,607280,607669,0.064,545956,840.741,853.333,859.667,862.667,3285.8,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-write-w2-qd256/results.log
current-efa-write-w2-qd32,current,efa,write,2,32,64,false,curve,1,1,true,4,"2,3,4",589840,589363,590537,0.199,532054,107.978,132.0,136.0,138.667,3383.1,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-write-w2-qd32/results.log
current-efa-write-w2-qd64,current,efa,write,2,64,128,false,curve,1,1,true,4,"2,3,4",589047,588153,589787,0.277,531506,216.764,203.0,272.0,274.667,3391.5,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-efa-write-w2-qd64/results.log
current-tcp-read-w1-qd16,current,tcp,read,1,16,16,false,curve,1,1,true,4,"2,3,4",141994,141947,142042,0.067,142017,111.945,119.0,122.0,123.333,7042.6,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-tcp-read-w1-qd16/results.log
