mode,class,qd,access_pattern,repeats,min_iops,mean_iops,max_iops,spread_pct,measured_raw_transport_rtt_us,matching_theoretical_iops,actual_theoretical_efficiency_pct,per_worker_qd_min,per_worker_qd_max,workers,lanes,aggregate_outstanding_depth,completion,source
read,low,1,sequential,3,52237,52252,52272,0.07,17.496,57156,91.42,1,1,1,1,1,initiator-local-cq-data-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
read,low,2,sequential,3,104078,104211,104336,0.25,17.554,113936,91.46,2,2,1,1,2,initiator-local-cq-data-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
read,low,4,sequential,3,198662,200523,202009,1.67,18.262,219042,91.54,4,4,1,1,4,initiator-local-cq-data-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
read,low,8,sequential,3,348602,352098,355251,1.89,20.554,389233,90.46,8,8,1,1,8,initiator-local-cq-data-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
read,low,16,sequential,3,366803,403055,427695,15.11,32.512,493095,81.66,16,16,1,1,16,initiator-local-cq-data-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
read,saturation,32,random-permutation,3,376611,417379,438579,14.85,59.959,535774,77.86,32,32,1,1,32,initiator-local-cq-data-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
read,saturation,64,random-permutation,3,394913,409867,418892,5.85,115.230,555785,73.75,64,64,1,1,64,initiator-local-cq-data-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
read,saturation,128,random-permutation,3,360252,365408,373894,3.73,261.628,489392,74.67,128,128,1,1,128,initiator-local-cq-data-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
read,saturation,256,random-permutation,3,305908,306741,307590,0.55,637.737,401423,76.41,256,256,1,1,256,initiator-local-cq-data-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
write,low,1,sequential,3,64805,64886,65011,0.32,15.359,65110,99.65,1,1,1,1,1,initiator-delivery-cq-remote-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
write,low,2,sequential,3,128976,129362,129583,0.47,15.406,129820,99.65,2,2,1,1,2,initiator-delivery-cq-remote-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
write,low,4,sequential,3,253703,254344,255099,0.55,15.661,255413,99.58,4,4,1,1,4,initiator-delivery-cq-remote-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
write,low,8,sequential,3,481620,484482,486253,0.96,16.401,487783,99.32,8,8,1,1,8,initiator-delivery-cq-remote-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
write,low,16,sequential,3,852310,856659,864401,1.41,18.375,870761,98.38,16,16,1,1,16,initiator-delivery-cq-remote-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
write,saturation,32,random-permutation,3,1314557,1315648,1317138,0.20,23.316,1372430,95.86,32,32,1,1,32,initiator-delivery-cq-remote-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
write,saturation,64,random-permutation,3,1300175,1301454,1302684,0.19,36.912,1733854,75.06,64,64,1,1,64,initiator-delivery-cq-remote-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
write,saturation,128,random-permutation,3,963572,965080,965897,0.24,92.850,1378577,70.01,128,128,1,1,128,initiator-delivery-cq-remote-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
write,saturation,256,random-permutation,3,642135,643425,644947,0.44,261.098,980476,65.62,256,256,1,1,256,initiator-delivery-cq-remote-visible,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/raw-rma-matrix-rerun/matrix-summary.log
