172.31.43.91 dev ens34 src 172.31.37.177 uid 1000 
    cache 
PING 172.31.43.91 (172.31.43.91) 56(84) bytes of data.
64 bytes from 172.31.43.91: icmp_seq=1 ttl=64 time=0.540 ms
64 bytes from 172.31.43.91: icmp_seq=2 ttl=64 time=0.163 ms
64 bytes from 172.31.43.91: icmp_seq=3 ttl=64 time=0.155 ms
64 bytes from 172.31.43.91: icmp_seq=4 ttl=64 time=0.149 ms
64 bytes from 172.31.43.91: icmp_seq=5 ttl=64 time=0.157 ms
64 bytes from 172.31.43.91: icmp_seq=6 ttl=64 time=0.158 ms
64 bytes from 172.31.43.91: icmp_seq=7 ttl=64 time=0.158 ms
64 bytes from 172.31.43.91: icmp_seq=8 ttl=64 time=0.157 ms
64 bytes from 172.31.43.91: icmp_seq=9 ttl=64 time=0.152 ms
64 bytes from 172.31.43.91: icmp_seq=10 ttl=64 time=0.156 ms
64 bytes from 172.31.43.91: icmp_seq=11 ttl=64 time=0.155 ms
64 bytes from 172.31.43.91: icmp_seq=12 ttl=64 time=0.158 ms
64 bytes from 172.31.43.91: icmp_seq=13 ttl=64 time=0.157 ms
64 bytes from 172.31.43.91: icmp_seq=14 ttl=64 time=0.156 ms
64 bytes from 172.31.43.91: icmp_seq=15 ttl=64 time=0.162 ms
64 bytes from 172.31.43.91: icmp_seq=16 ttl=64 time=0.157 ms
64 bytes from 172.31.43.91: icmp_seq=17 ttl=64 time=0.144 ms
64 bytes from 172.31.43.91: icmp_seq=18 ttl=64 time=0.149 ms
64 bytes from 172.31.43.91: icmp_seq=19 ttl=64 time=0.158 ms
64 bytes from 172.31.43.91: icmp_seq=20 ttl=64 time=0.156 ms
64 bytes from 172.31.43.91: icmp_seq=21 ttl=64 time=0.151 ms
64 bytes from 172.31.43.91: icmp_seq=22 ttl=64 time=0.153 ms
64 bytes from 172.31.43.91: icmp_seq=23 ttl=64 time=0.154 ms
64 bytes from 172.31.43.91: icmp_seq=24 ttl=64 time=0.157 ms
64 bytes from 172.31.43.91: icmp_seq=25 ttl=64 time=0.157 ms
64 bytes from 172.31.43.91: icmp_seq=26 ttl=64 time=0.153 ms
64 bytes from 172.31.43.91: icmp_seq=27 ttl=64 time=0.158 ms
64 bytes from 172.31.43.91: icmp_seq=28 ttl=64 time=0.151 ms
64 bytes from 172.31.43.91: icmp_seq=29 ttl=64 time=0.153 ms
64 bytes from 172.31.43.91: icmp_seq=30 ttl=64 time=0.154 ms
64 bytes from 172.31.43.91: icmp_seq=31 ttl=64 time=0.153 ms
64 bytes from 172.31.43.91: icmp_seq=32 ttl=64 time=0.150 ms
64 bytes from 172.31.43.91: icmp_seq=33 ttl=64 time=0.150 ms
64 bytes from 172.31.43.91: icmp_seq=34 ttl=64 time=0.155 ms
64 bytes from 172.31.43.91: icmp_seq=35 ttl=64 time=0.160 ms
64 bytes from 172.31.43.91: icmp_seq=36 ttl=64 time=0.154 ms
64 bytes from 172.31.43.91: icmp_seq=37 ttl=64 time=0.152 ms
64 bytes from 172.31.43.91: icmp_seq=38 ttl=64 time=0.152 ms
64 bytes from 172.31.43.91: icmp_seq=39 ttl=64 time=0.149 ms
64 bytes from 172.31.43.91: icmp_seq=40 ttl=64 time=0.152 ms

--- 172.31.43.91 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 1989ms
rtt min/avg/max/mdev = 0.144/0.164/0.540/0.060 ms
